 T(YR)=   100.00000000000000     
 ( H  He C  N  O  SI S  FE NA MG CL P F)
   1000000.0000000582        90000.000000000480        170.00000013163950        61.999999999142943        240.00000000131317        7.9999999941854846E-003   8.0000000158769249E-002   2.9999999999999996E-003   2.0000000000000013E-003   7.0000000000000201E-003   1.0000000000007405E-003   2.0000000000003039E-004   6.6800000004131437E-003
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   7.5515211530950791E-015
        6499   6.9112762642700809E-015
        6550   2.4815981051950978E-016
        6527   2.2195875385184888E-016
        3850   5.4133408293579958E-017
        3854   4.2022643472799099E-017
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   7.5546940741161821E-015
         861  -7.5546887147861847E-015
         864  -3.3400449774275971E-021
         862  -1.4849151134857317E-021
         863  -5.2105314021352381E-022
        2170  -1.3310053784822245E-023
 OH        
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   1.3876365969432727E-011
         771   9.9959240676201511E-012
         794   2.5670393283009732E-012
        2018   1.0120071744079998E-012
         810   1.0065731886165440E-013
        6170   6.4183861787408117E-014
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   1.3816145362233255E-011
        2126  -6.7015848203172301E-012
        2019  -2.9508524275764712E-012
        2033  -2.6997555671945178E-012
        3472  -1.4172583127898995E-012
         901  -1.9848984178602740E-014
 CO        
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   2.4465535356275391E-008
        3643   1.0730036443026886E-008
        3644   2.3598382238540954E-009
        3645   1.6307925222720209E-009
         803   1.4682921397517093E-009
        2116   1.4048578601889773E-009
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   2.9912947289920469E-012
        2180  -2.3964914506121929E-012
        1212  -3.4280973138586873E-013
        2181  -1.4049272631102167E-013
        2631  -6.3863892931304445E-014
         914  -1.6793824185577770E-014
 CS        
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   1.8807548373654931E-012
        4503   1.5660207699374899E-012
        4889   2.1617503952498641E-013
         840   2.4378362922999215E-014
        6796   2.3786512297657549E-014
         847   1.2474918254944025E-014
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   6.5594770637097009E-012
        2119  -6.5493686097937554E-012
        1920  -4.0773473471183877E-015
        1720  -2.0271267587247228E-015
        4499  -1.9290874907482740E-015
        2781  -8.0969974974608911E-016
 HS        
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   5.7981287426700603E-015
        4498   4.3556766069727672E-015
         776   9.7292959868003404E-016
        4500   3.4042720424969546E-016
        3006   1.1209920267322797E-016
        2008   6.7897600400629060E-018
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   5.8425213254242998E-015
        2121  -2.9482493565084411E-015
        1980  -1.9613694801869465E-015
        2028  -7.7941511349450673E-016
        3462  -1.5038595016894867E-016
        2122  -2.5126404122997958E-018
 N2        
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   7.2585124790340694E-010
        2027   7.2022084746040454E-010
        2031   3.8484032948156697E-012
        3524   1.1639800012152049E-012
        2030   4.8964022216278125E-013
        2631   6.3863892931304445E-014
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   9.8781758641314755E-014
        2188  -8.8301899911438889E-014
        1223  -6.3875631627903779E-015
        5474  -3.1937815813951890E-015
        2625  -5.2826597125759884E-016
           1  -3.1119086947306880E-016
 NH        
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   2.7560377722533976E-012
        3523   2.0440695325090857E-012
        2068   5.4058780927272240E-013
        4951   1.5461535560464094E-013
        2026   8.7037133626143598E-015
        2064   4.3454457738059947E-015
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   2.6748949301146081E-012
        2123  -1.9488624141175113E-012
        2030  -4.8964022216278125E-013
        3464  -2.3612169665594136E-013
        1724  -5.1651877785462377E-017
        5052  -4.2401844090901030E-017
 SiH       
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   8.1281061474501745E-017
        3029   7.8385996496120889E-017
        3249   2.8802653803226669E-018
        6601   1.0540449386283504E-020
        6829   4.2384512818952292E-021
        6865   2.0697375685068928E-023
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   8.5447061169453246E-017
        2131  -5.2148089744452583E-017
        2040  -3.1007993846070792E-017
        3475  -2.2900302738080244E-018
        1733  -4.6966968368192212E-022
        2785  -1.8407486787482929E-022
 SiO       
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   7.0406360733113038E-014
         849   3.5078780682553315E-014
        2130   2.0631840332456968E-014
        6577   8.2272402856799735E-015
        2132   3.9810564787425619E-015
         777   1.5517976669700469E-015
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   8.6779421839128688E-016
        1734  -4.4528131430055527E-016
        2786  -1.7747438457450364E-016
        2202  -1.5602921737347604E-016
         574  -4.1588563135208761E-017
        5219  -1.4168408359451758E-017
 SO        
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   2.6176293060541941E-014
         844   1.7210259832326170E-014
         845   5.7914983853172750E-015
        2121   2.9482493565084411E-015
        6592   1.5572269415149009E-016
        2125   5.8241644987985511E-017
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   8.7270556394046240E-015
        3477  -4.3545490382337829E-015
        3476  -4.3545490382337829E-015
        4501  -5.8983143950609248E-018
        4502  -4.8258935959589387E-018
        1736  -2.7172895308613609E-018
 CH        
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   4.1580811761608516E-010
        2134   2.3835712447790263E-010
        1989   1.7516496330271884E-010
        3478   1.3322028208518378E-012
        6734   2.8347856839253625E-013
        6415   1.4224803595199162E-013
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   4.2337440206404327E-010
        1988  -1.7811128008755547E-010
        2015  -1.6912436875563641E-010
        3460  -3.2138230549111433E-011
        2025  -2.3680308398461592E-011
        3461  -7.3426456232271681E-012
 O2        
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   1.0542947465173142E-010
         805   9.8726191265272696E-011
        2126   6.7015848203172301E-012
        3374   7.5467946268101229E-016
        6171   4.1277968609622141E-016
        2848   2.9719319085731399E-016
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   5.2158312950227508E-011
        3470  -5.1071614452447864E-011
         898  -6.2095436165369880E-013
         899  -1.5523859041342470E-013
        1921  -1.3992620773285579E-013
        1923  -4.6642069244285279E-014
 H2        
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   1.9711889536267569E-008
        6991   1.8778591288870380E-008
        3489   2.7900547767605497E-010
        1988   1.7811128008755547E-010
        1989   1.7516496330271884E-010
        1981   1.0424944423208228E-010
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   2.1275772342564891E-008
        4960  -8.9534669391435704E-009
        4527  -2.9678200040227057E-009
        4529  -1.2302838069958585E-009
        4963  -1.1180996497867313E-009
        4956  -9.7427608243191036E-010
 C2        
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   3.6386642204291498E-010
        2083   2.2210312925673926E-010
        4594   7.5328529443311342E-011
        3480   4.2721642038190729E-011
        1962   1.2396667875865680E-011
        3461   7.3426456232271681E-012
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   3.7119586227366042E-010
        4521  -2.3355340645242757E-010
        2112  -9.3977263075296181E-011
        2024  -3.6776837003592708E-011
         558  -5.0397232573648960E-012
         894  -1.5563044745435699E-012
 CN        
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   2.3871723113255341E-009
        2061   4.2598904714495246E-010
        2078   4.0995676404250867E-010
        2085   2.7612548932929164E-010
        3503   2.3482326402395463E-010
        2135   1.7453471300594742E-010
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   2.7555308546217871E-009
        2116  -1.4048578601889773E-009
        2027  -7.2022084746040454E-010
         908  -2.9838259343895404E-010
        4535  -2.3224675570946818E-010
         909  -3.4475429529055955E-011
 MgH       
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   1.9293365067412580E-018
        2701   1.9293365067412580E-018
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   8.0623572300178921E-022
        1722  -5.3924076656544161E-022
        2187  -1.7005785078522168E-022
         564  -4.7294667022737076E-023
        1222  -2.2873300371492394E-023
        2493  -1.5215353312542757E-023
 NaH       
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   4.0529066227099600E-017
        6584   4.0529066227099600E-017
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   2.0700838473655221E-018
        2701  -1.9293365067412580E-018
