!
! 02-AUG-2019 17:32:49
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 13.5 24.8 /OUTPUT smm9_hcn10_red_comp1.txt
!
 1     33.286   -211.850 -0.14384    
 2     47.936   -211.850 -2.45925E-04
 3     62.586   -211.850 -0.21549    
 4     77.236   -211.850 -0.11745    
 5     91.886   -211.850  0.32609    
 6    106.536   -211.850   1.3377    
 7    121.186   -211.850   2.2538    
 8    135.836   -211.850   1.5783    
 9    150.486   -211.850   1.0611    
 10    165.136   -211.850  0.64085    
 11    179.786   -211.850  0.36038    
 12    194.436   -211.850  0.88928    
 13    209.086   -211.850  0.25509    
 14    223.736   -211.850  0.53364    
 15    238.386   -211.850 -0.16467    
 16    238.386   -197.200 -0.21304    
 17    223.736   -197.200 -0.13887    
 18    209.086   -197.200  0.24167    
 19    194.436   -197.200  0.88429    
 20    179.786   -197.200  0.39166    
 21    165.136   -197.200  0.63690    
 22    150.486   -197.200   1.0693    
 23    135.836   -197.200   1.6193    
 24    121.186   -197.200   2.3446    
 25    106.536   -197.200   1.3657    
 26     91.886   -197.200  0.33535    
 27     77.236   -197.200 -4.89155E-02
 28     62.586   -197.200 -0.21341    
 29     47.936   -197.200  1.37267E-03
 30     33.286   -197.200 -0.21212    
 31     18.636   -197.200 -0.40481    
 32     18.636   -182.550 -0.33154    
 33     33.286   -182.550 -0.26876    
 34     47.936   -182.550 -0.12567    
 35     62.586   -182.550  1.06215E-02
 36     77.236   -182.550  0.31535    
 37     91.886   -182.550  0.73500    
 38    106.536   -182.550   2.1570    
 39    121.186   -182.550   3.9379    
 40    135.836   -182.550   2.6907    
 41    150.486   -182.550  0.82600    
 42    165.136   -182.550 -0.18071    
 43    179.786   -182.550  0.13819    
 44    194.436   -182.550  0.15582    
 45    209.086   -182.550 -0.18335    
 46    223.736   -182.550 -0.14407    
 47    238.386   -182.550 -0.10318    
 48    238.386   -167.900 -6.23961E-02
 49    223.736   -167.900 -5.98074E-02
 50    209.086   -167.900  7.16974E-02
 51    194.436   -167.900 -0.18177    
 52    179.786   -167.900 -5.42863E-02
 53    165.136   -167.900  2.96187E-02
 54    150.486   -167.900  0.97719    
 55    135.836   -167.900   2.4564    
 56    121.186   -167.900   3.1107    
 57    106.536   -167.900   1.9826    
 58     91.886   -167.900  0.52086    
 59     77.236   -167.900  0.35156    
 60     62.586   -167.900  0.39692    
 61     47.936   -167.900 -3.03612E-02
 62     33.286   -167.900  3.16850E-02
 63     18.636   -167.900  3.33470E-02
 64     18.636   -153.250 -0.40790    
 65     33.286   -153.250 -0.25857    
