	1.25		22.e-5
	1.65		22.67e-4
	2.20		16.13e-3
	3.6		0.061454224
	4.5		0.149
	5.8		0.251592587
	8		0.346
	10.1		23.e-2
	12		0.53
	24		1.918
	25		2.32
          100		16.3
	443		2.79
	450		2.82
	790		0.598
	800		0.289
	850		0.56
	1100		0.116
	1104		0.099
	1260		0.136
	1300		0.30
	2600		0.020
	2720		0.012
