	13388
3.3526	0.5203
3.55726	0.659
4.50493	1.103
4.6028	0.9564
5.73857	1.791
7.92737	2.427
11.5608	3.5339
22.0883	9.2615
23.84331	6.813
	
	1180593
3.55726	0.4188
4.50493	0.4855
5.73857	0.6221
7.92737	0.7855
	
	1180945
3.55726	0.3678
4.50493	0.446
5.73857	0.4529
7.92737	0.4663
	
	13346
3.3526	1.2220
3.55726	2.738
4.50493	6.243
4.6028	4.3513
5.73857	11.99
7.92737	18.67
11.5608	22.9858
22.0883	55.0908
23.84331	36.490
	
	13379
3.55726	0.2724
4.50493	0.4353
5.73857	0.6263
7.92737	0.9697
23.84331	2.848
	
	13446
1.662	0.3725
2.159	1.712
3.3526	3.1007
3.55726	4.134
4.50493	5.743
4.6028	5.0144
5.73857	8.731
7.92737	10.28
11.5608	11.3203
22.0883	28.0207
23.84331	11.410
	
	1167379
1.662	0.6765
2.159	1.146
3.3526	3.0107
3.55726	1.414
4.50493	1.672
4.6028	3.1234
5.73857	1.575
7.92737	1.424
11.5608	30.8077
22.0883	405.0226
	
	1168588
1.235	1.507
1.662	5.586
2.159	18.63
3.3526	95.2052
3.55726	89.42
4.50493	142.8
4.6028	164.9769
5.73857	196.2
7.92737	348.6
9.2182	1302.0
11.5608	901.6942
19.80657	1687.0
22.0883	2411.4557
	
	13261
1.662	0.5085
2.159	0.8225
3.3526	0.5679
3.55726	1.393
4.50493	1.961
4.6028	1.2084
5.73857	2.538
7.92737	3.253
11.5608	3.3718
22.0883	14.0436
23.84331	13.450
	
	12705
1.662	1.256
2.159	8.684
3.3526	52.1268
3.55726	63.09
4.50493	128.0
4.6028	151.0161
5.73857	230.3
7.92737	300.6
9.2182	1220.0
11.5608	484.6846
19.80657	1525.0
22.0883	1447.7024
23.84331	951.300
	
	1158860
3.3526	4.0166
3.55726	2.013
4.50493	3.732
4.6028	6.2607
5.73857	5.334
7.92737	5.601
11.5608	53.3408
22.0883	183.6028
	
	1159628
1.235	1.463
1.662	1.997
2.159	2.114
3.3526	1.6333
3.55726	2.384
4.50493	2.622
4.6028	1.4449
5.73857	2.359
7.92737	2.195
	
	13466
3.55726	0.1239
4.50493	0.1683
5.73857	0.2763
7.92737	0.3761
23.84331	0.642
	
	13469
3.55726	0.1117
4.50493	0.1712
5.73857	0.2545
7.92737	0.3183
23.84331	1.105
	
	13705
1.235	1.443
1.662	2.684
2.159	3.801
3.3526	5.6684
3.55726	6.806
4.50493	7.931
4.6028	7.2148
5.73857	8.264
7.92737	8.014
11.5608	6.6292
22.0883	6.2270
23.84331	4.535
	
	1181323
3.3526	1.3374
3.55726	0.5394
4.50493	0.7359
4.6028	2.3476
5.73857	0.9333
7.92737	0.882
11.5608	3.2890
22.0883	22.0739
	
	1181625
3.55726	0.4895
4.50493	0.7772
5.73857	0.9988
7.92737	1.013
	
	13495
3.3526	1.7040
3.55726	2.207
4.50493	2.771
4.6028	2.9773
5.73857	3.524
7.92737	3.999
11.5608	4.5863
22.0883	20.4305
23.84331	12.580
