!
! 19-AUG-2019 20:18:12
! Input file  : b1b_cn10_conv.30m
! Input command: ANALYSE\PRINT area -11.8 -9.8 /OUTPUT b1b_cn10_int_2.txt
!
 172     -9.650     63.600  0.57133    
 173      5.000     63.600  0.68825    
 174     19.650     63.600  0.73100    
 175     34.300     63.600  0.55238    
 176     48.950     63.600  0.38234    
 177     63.600     63.600  0.31075    
 178     78.250     63.600  0.13586    
 179     92.900     63.600  8.98467E-02
 180    107.550     63.600  8.44193E-02
 181    107.550     78.250  0.13357    
 182     92.900     78.250  0.13506    
 183     78.250     78.250  0.15487    
 184     63.600     78.250  0.23880    
 185     48.950     78.250  0.34659    
 186     34.300     78.250  0.65930    
 187     19.650     78.250  0.89732    
 188      5.000     78.250  0.75748    
 189     -9.650     78.250  0.67780    
 190    -24.300     78.250  0.60818    
 191    -38.950     78.250  0.54665    
 192    -53.600     78.250  0.52978    
 193    -68.250     78.250  0.38746    
 194    -82.900     78.250  0.26715    
 195    -97.550     78.250  0.19841    
 196    -97.550     92.900  0.18344    
 197    -82.900     92.900  0.27339    
 198    -68.250     92.900  0.48213    
 199    -53.600     92.900  0.59229    
 200    -38.950     92.900  0.61278    
 201    -24.300     92.900  0.67051    
 202     -9.650     92.900  0.71016    
 203      5.000     92.900  0.76895    
 204     19.650     92.900  0.90859    
 205     34.300     92.900  0.66480    
 206     48.950     92.900  0.34234    
 207     63.600     92.900  0.23106    
 208     78.250     92.900  0.15439    
 209     92.900     92.900  0.16735    
 210    107.550     92.900  0.20490    
 211     92.900    107.550  8.40997E-02
 212     78.250    107.550  0.15134    
 213     63.600    107.550  0.23046    
 214     48.950    107.550  0.34197    
 215     34.300    107.550  0.66504    
 216     19.650    107.550  0.90916    
 217      5.000    107.550  0.76989    
 218     -9.650    107.550  0.71407    
 219    -24.300    107.550  0.67842    
 220    -38.950    107.550  0.62139    
 221    -53.600    107.550  0.60089    
 222    -68.250    107.550  0.50713    
 223    -82.900    107.550  0.33334    
 224    -97.550    107.550  0.17544    
