!
! 19-AUG-2019 20:17:49
! Input file  : b1b_cn10_conv.30m
! Input command: ANALYSE\PRINT area -4.2 -2.5 /OUTPUT b1b_cn10_int_1.txt
!
 171    -24.300     63.600  0.45371    
 172     -9.650     63.600  0.51375    
 173      5.000     63.600  0.53355    
 174     19.650     63.600  0.54156    
 175     34.300     63.600  0.41468    
 176     48.950     63.600  0.31226    
 177     63.600     63.600  0.27749    
 178     78.250     63.600  1.08264E-02
 179     92.900     63.600 -6.43120E-02
 180    107.550     63.600 -7.31393E-02
 181    107.550     78.250 -1.43402E-02
 182     92.900     78.250 -3.71658E-03
 183     78.250     78.250  0.10988    
 184     63.600     78.250  0.19653    
 185     48.950     78.250  0.22914    
 186     34.300     78.250  0.37269    
 187     19.650     78.250  0.58640    
 188      5.000     78.250  0.58937    
 189     -9.650     78.250  0.46149    
 190    -24.300     78.250  0.47762    
 191    -38.950     78.250  0.55027    
 192    -53.600     78.250  0.44801    
 193    -68.250     78.250  0.22951    
 194    -82.900     78.250  0.28313    
 195    -97.550     78.250  0.22477    
 196    -97.550     92.900  0.23198    
 197    -82.900     92.900  0.26167    
 198    -68.250     92.900  0.20500    
 199    -53.600     92.900  0.49524    
 200    -38.950     92.900  0.58990    
 201    -24.300     92.900  0.49254    
 202     -9.650     92.900  0.45601    
 203      5.000     92.900  0.60059    
 204     19.650     92.900  0.59148    
 205     34.300     92.900  0.37420    
 206     48.950     92.900  0.23042    
 207     63.600     92.900  0.19302    
 208     78.250     92.900  0.21551    
 209     92.900     92.900  0.11556    
 210    107.550     92.900  5.57253E-02
 211     92.900    107.550  0.25854    
 212     78.250    107.550  0.22277    
 213     63.600    107.550  0.19319    
 214     48.950    107.550  0.23076    
 215     34.300    107.550  0.37443    
 216     19.650    107.550  0.59178    
 217      5.000    107.550  0.60145    
 218     -9.650    107.550  0.45554    
 219    -24.300    107.550  0.49469    
 220    -38.950    107.550  0.59460    
 221    -53.600    107.550  0.50091    
 222    -68.250    107.550  0.19722    
 223    -82.900    107.550  0.13336    
 224    -97.550    107.550  0.23620    
