!
! 19-AUG-2019 20:18:56
! Input file  : b1b_cn10_conv.30m
! Input command: ANALYSE\PRINT area -89.9 -87.4 /OUTPUT b1b_cn10_int_5.txt
!
 169    -53.600     63.600  0.13254    
 170    -38.950     63.600  0.16370    
 171    -24.300     63.600  0.30125    
 172     -9.650     63.600  0.45779    
 173      5.000     63.600  0.40600    
 174     19.650     63.600  0.28722    
 175     34.300     63.600  0.13976    
 176     48.950     63.600  0.12259    
 177     63.600     63.600  4.06075E-02
 178     78.250     63.600 -0.41407    
 179     92.900     63.600 -0.53559    
 180    107.550     63.600 -0.55065    
 181    107.550     78.250 -0.61251    
 182     92.900     78.250 -0.59197    
 183     78.250     78.250 -0.35220    
 184     63.600     78.250  1.99585E-02
 185     48.950     78.250  0.11798    
 186     34.300     78.250  0.12769    
 187     19.650     78.250  0.21370    
 188      5.000     78.250  0.37189    
 189     -9.650     78.250  0.55755    
 190    -24.300     78.250  0.33272    
 191    -38.950     78.250  0.18355    
 192    -53.600     78.250  2.26134E-02
 193    -68.250     78.250 -6.06085E-02
 194    -82.900     78.250 -9.60997E-02
 195    -97.550     78.250  7.44238E-02
 196    -97.550     92.900  5.78338E-02
 197    -82.900     92.900 -0.13052    
 198    -68.250     92.900 -0.18257    
 199    -53.600     92.900 -2.68909E-02
 200    -38.950     92.900  0.18211    
 201    -24.300     92.900  0.35291    
 202     -9.650     92.900  0.59771    
 203      5.000     92.900  0.37098    
 204     19.650     92.900  0.20885    
 205     34.300     92.900  0.13087    
 206     48.950     92.900  0.11867    
 207     63.600     92.900  1.34497E-02
 208     78.250     92.900 -0.15730    
 209     92.900     92.900 -0.51340    
 210    107.550     92.900 -0.66551    
 211     92.900    107.550 -0.32491    
 212     78.250    107.550 -0.13818    
 213     63.600    107.550  1.29980E-02
 214     48.950    107.550  0.11878    
 215     34.300    107.550  0.13120    
 216     19.650    107.550  0.20864    
 217      5.000    107.550  0.37144    
 218     -9.650    107.550  0.60369    
 219    -24.300    107.550  0.35628    
 220    -38.950    107.550  0.18169    
 221    -53.600    107.550 -3.40624E-02
 222    -68.250    107.550 -0.21302    
 223    -82.900    107.550 -0.19769    
 224    -97.550    107.550  5.07881E-02
