!
! 19-DEC-2018 15:17:26
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 12 18 /OUTPUT smm34_hcn10_red_3.txt
!
 1     33.286   -211.850 -3.98042E-02
 172    238.386    -80.000   1.0302    
 173    223.736    -80.000   1.0257    
 174    209.086    -80.000  0.85428    
 175    194.436    -80.000   1.0112    
 176    179.786    -80.000   1.1161    
 177    165.136    -80.000   1.5329    
 178    150.486    -80.000   1.3414    
 179    135.836    -80.000   1.0222    
 180    121.186    -80.000   1.2944    
 181    106.536    -80.000   1.5616    
 182     91.886    -80.000   1.4337    
 183     77.236    -80.000   1.4523    
 184     62.586    -80.000   1.1998    
 185     47.936    -80.000   1.0276    
 186     33.286    -80.000  0.75409    
 187     18.636    -80.000  0.69620    
 188      3.986    -80.000  0.82693    
 189    -10.664    -80.000   1.1029    
 190    -25.314    -80.000  0.93332    
 191    -39.964    -80.000   1.1263    
 192    -54.614    -80.000  0.66239    
 193    -69.264    -80.000  0.12080    
 194    -83.914    -80.000  7.83105E-02
 195    -83.914    -65.350  0.55926    
 196    -69.264    -65.350  0.58265    
 197    -54.614    -65.350  0.82169    
 198    -39.964    -65.350   1.1589    
 199    -25.314    -65.350   1.1269    
 200    -10.664    -65.350   1.2277    
 201      3.986    -65.350  0.80827    
 202     18.636    -65.350  0.57225    
 203     33.286    -65.350  0.78164    
 204     47.936    -65.350  0.69471    
 205     62.586    -65.350   1.0556    
 206     77.236    -65.350  0.84652    
 207     91.886    -65.350  0.86921    
 208    106.536    -65.350   1.2803    
 209    121.186    -65.350   1.3469    
 210    135.836    -65.350   1.2102    
 211    150.486    -65.350  0.99539    
 212    165.136    -65.350   1.3278    
 213    179.786    -65.350   1.3606    
 214    194.436    -65.350   1.5844    
 215    209.086    -65.350   1.2792    
 216    223.736    -65.350   1.0816    
 217    238.386    -65.350   1.0737    
 218    238.386    -50.700   1.9304    
 219    223.736    -50.700   1.9118    
 220    209.086    -50.700   1.9275    
 221    194.436    -50.700   1.4833    
 222    179.786    -50.700   1.5252    
 223    165.136    -50.700   1.2477    
