!
! 12-DEC-2018 15:41:58
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area 13.9 17.1 /OUTPUT serpens_cn10_2_int.txt
!
 1    238.386   -226.500  0.32143    
 2    223.736   -226.500  0.36321    
 3    209.086   -226.500  0.36531    
 4    194.436   -226.500  0.38298    
 5    179.786   -226.500  0.54555    
 6    165.136   -226.500   1.0872    
 7    150.486   -226.500   1.1454    
 8    135.836   -226.500  0.67887    
 9    121.186   -226.500  0.80081    
 10    106.536   -226.500  0.87919    
 11     91.886   -226.500  0.89041    
 12     77.236   -226.500  0.89192    
 13     33.286   -211.850 -0.71020    
 14     47.936   -211.850 -2.56695E-02
 15     62.586   -211.850  0.43986    
 16     77.236   -211.850  0.75492    
 17     91.886   -211.850  0.83550    
 18    106.536   -211.850  0.82358    
 19    121.186   -211.850  0.74460    
 20    135.836   -211.850  0.61270    
 21    150.486   -211.850   1.0017    
 22    165.136   -211.850  0.97713    
 23    179.786   -211.850  0.68090    
 24    194.436   -211.850  0.70065    
 25    209.086   -211.850  0.71386    
 26    223.736   -211.850  0.71579    
 27    238.386   -211.850  0.70093    
 28    253.036   -211.850  0.68161    
 29    267.686   -211.850  0.63247    
 30    267.686   -197.200  0.68492    
 31    253.036   -197.200  0.68427    
 32    238.386   -197.200  0.68210    
 33    223.736   -197.200  0.82642    
 34    209.086   -197.200  0.91427    
 35    194.436   -197.200  0.87396    
 36    179.786   -197.200  0.74228    
 37    165.136   -197.200  0.94333    
 38    150.486   -197.200   1.0199    
 39    135.836   -197.200  0.83682    
 40    121.186   -197.200  0.89898    
 41    106.536   -197.200  0.93136    
 42     91.886   -197.200  0.83096    
 43     77.236   -197.200  0.55157    
 44     62.586   -197.200  0.41768    
 45     47.936   -197.200 -5.31797E-02
 46     33.286   -197.200 -0.36833    
 47     18.636   -197.200 -0.42358    
 48    -39.964   -182.550 -5.31646E-02
 49    -25.314   -182.550 -1.64839E-02
 50    -10.664   -182.550 -2.56508E-02
 51      3.986   -182.550  4.07046E-02
 52     18.636   -182.550 -0.31634    
 53     33.286   -182.550 -0.29891    
 54     47.936   -182.550 -5.54499E-02
