!
! 19-DEC-2018 15:16:55
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 0 2 /OUTPUT smm34_hcn10_red_1.txt
!
 1     33.286   -211.850 -0.37954    
 2     47.936   -211.850  0.50921    
 3     62.586   -211.850 -8.56415E-02
 4     77.236   -211.850  0.17966    
 5     91.886   -211.850  0.27691    
 6    106.536   -211.850  0.22079    
 7    121.186   -211.850  0.55908    
 8    135.836   -211.850  0.64607    
 9    150.486   -211.850  0.69093    
 10    165.136   -211.850  0.89415    
 11    179.786   -211.850  0.73535    
 12    194.436   -211.850  0.44644    
 13    209.086   -211.850  0.14608    
 14    223.736   -211.850 -0.30069    
 15    238.386   -211.850 -0.41701    
 16    238.386   -197.200 -0.31120    
 17    223.736   -197.200 -0.28076    
 18    209.086   -197.200  0.15110    
 19    194.436   -197.200  0.44374    
 20    179.786   -197.200  0.71304    
 21    165.136   -197.200  0.89052    
 22    150.486   -197.200  0.69200    
 23    135.836   -197.200  0.65525    
 24    121.186   -197.200  0.54673    
 25    106.536   -197.200  0.22541    
 26     91.886   -197.200  0.27660    
 27     77.236   -197.200  0.19266    
 28     62.586   -197.200 -8.53755E-02
 29     47.936   -197.200  0.49062    
 30     33.286   -197.200 -0.36104    
 31     18.636   -197.200 -0.35034    
 32     18.636   -182.550 -5.84989E-02
 33     33.286   -182.550 -9.60392E-02
 34     47.936   -182.550  9.22379E-02
 35     62.586   -182.550 -7.10321E-02
 36     77.236   -182.550  0.33216    
 37     91.886   -182.550  0.35814    
 38    106.536   -182.550  0.39218    
 39    121.186   -182.550  0.41788    
 40    135.836   -182.550  0.76230    
 41    150.486   -182.550  0.86025    
 42    165.136   -182.550  0.46272    
 43    179.786   -182.550  0.47262    
 44    194.436   -182.550  0.13406    
 45    209.086   -182.550  0.12086    
 46    223.736   -182.550  0.17597    
 47    238.386   -182.550  0.15528    
 48    238.386   -167.900  0.20938    
 49    223.736   -167.900  0.22762    
 50    209.086   -167.900  0.26940    
 51    194.436   -167.900  0.35173    
 52    179.786   -167.900  0.36902    
 53    165.136   -167.900  0.42103    
 54    150.486   -167.900  0.54568    
 55    135.836   -167.900  0.78077    
 56    121.186   -167.900  0.55259    
 57    106.536   -167.900  0.43793    
 58     91.886   -167.900  0.26527    
 59     77.236   -167.900  0.20312    
 60     62.586   -167.900  0.22794    
 61     47.936   -167.900  0.18920    
 62     33.286   -167.900  0.12281    
 63     18.636   -167.900  0.12602    
 64     18.636   -153.250  0.47719    
 65     33.286   -153.250  0.52958    
 66     47.936   -153.250  0.49870    
 67     62.586   -153.250  0.68083    
 68     77.236   -153.250  0.49624    
 69     91.886   -153.250  0.56168    
 70    106.536   -153.250  0.65303    
 71    121.186   -153.250  0.67339    
 72    135.836   -153.250  0.51277    
 73    150.486   -153.250  0.65205    
 74    165.136   -153.250  0.76724    
 75    179.786   -153.250  0.51223    
 76    194.436   -153.250  0.46641    
 77    209.086   -153.250  0.23832    
 78    223.736   -153.250  0.21928    
