!
! 05-APR-2020 19:45:49
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area -3.3 -0.165 /OUTPUT serpens_hcn10_blue1_smm4.txt
!
 170    223.736    -94.650  0.26716    
 171    238.386    -94.650  0.28844    
 172    238.386    -80.000 -0.21850    
 173    223.736    -80.000 -0.19840    
 174    209.086    -80.000 -1.85947E-02
 175    194.436    -80.000  0.30379    
 176    179.786    -80.000  0.60146    
 177    165.136    -80.000  0.69941    
 178    150.486    -80.000   1.4594    
 179    135.836    -80.000   1.5769    
 180    121.186    -80.000   1.2053    
 181    106.536    -80.000  0.68449    
 182     91.886    -80.000  0.58480    
 183     77.236    -80.000  0.53358    
 184     62.586    -80.000  0.50646    
 185     47.936    -80.000  0.57001    
 186     33.286    -80.000  0.60703    
 187     18.636    -80.000  0.28427    
 188      3.986    -80.000  0.55692    
 189    -10.664    -80.000  0.59786    
 190    -25.314    -80.000  0.24031    
 191    -39.964    -80.000  0.28315    
 192    -54.614    -80.000  2.07536E-02
 193    -69.264    -80.000 -0.32448    
 194    -83.914    -80.000 -0.32754    
 195    -83.914    -65.350  0.21478    
 196    -69.264    -65.350  0.18316    
 197    -54.614    -65.350 -0.17114    
 198    -39.964    -65.350  0.22046    
 199    -25.314    -65.350  0.16893    
 200    -10.664    -65.350  0.70956    
 201      3.986    -65.350  0.64260    
 202     18.636    -65.350  4.90843E-02
 203     33.286    -65.350  0.57124    
 204     47.936    -65.350  0.22988    
 205     62.586    -65.350  0.27623    
 206     77.236    -65.350  6.54784E-02
 207     91.886    -65.350  6.12170E-02
 208    106.536    -65.350  0.33740    
 209    121.186    -65.350   1.0048    
 210    135.836    -65.350   1.4916    
 211    150.486    -65.350   1.0748    
 212    165.136    -65.350  0.43470    
 213    179.786    -65.350  0.21243    
 214    194.436    -65.350  0.46027    
 215    209.086    -65.350  0.35353    
 216    223.736    -65.350  2.89513E-02
 217    238.386    -65.350  3.00417E-02
 218    238.386    -50.700 -9.00074E-02
 219    223.736    -50.700 -8.24631E-02
 220    209.086    -50.700  2.12308E-02
 221    194.436    -50.700 -0.30618    
 222    179.786    -50.700  0.30250    
 223    165.136    -50.700  0.44299    
 224    150.486    -50.700  0.84724    
 225    135.836    -50.700  0.95316    
 226    121.186    -50.700  0.56246    
 227    106.536    -50.700  0.35275    
 228     91.886    -50.700  0.14502    
 229     77.236    -50.700  0.15474    
 230     62.586    -50.700  0.30885    
 231     47.936    -50.700  0.20240    
 232     33.286    -50.700  0.54232    
 233     18.636    -50.700  0.47031    
 234      3.986    -50.700  0.79736    
 235    -10.664    -50.700  0.42434    
 236    -25.314    -50.700  0.40428    
 237    -39.964    -50.700  0.32279    
 238    -54.614    -50.700  0.33573    
 239    -69.264    -50.700  0.27648    
 240    -83.914    -50.700  0.28608    
 241    -83.914    -36.050  0.19702    
 242    -69.264    -36.050  0.18517    
 243    -54.614    -36.050  0.21638    
 244    -39.964    -36.050  0.68187    
 245    -25.314    -36.050  0.61242    
 246    -10.664    -36.050  0.36309    
 247      3.986    -36.050  0.47522    
 248     18.636    -36.050 -3.57048E-02
 249     33.286    -36.050  0.25287    
 250     47.936    -36.050  0.17137    
 251     62.586    -36.050  0.15586    
 252     77.236    -36.050  8.40909E-02
 253     91.886    -36.050  0.30911    
 254    106.536    -36.050  0.30855    
 255    121.186    -36.050  0.38858    
 256    135.836    -36.050  0.65083    
 257    150.486    -36.050  0.38752    
 258    165.136    -36.050  0.15107    
 259    179.786    -36.050  0.15923    
 260    194.436    -36.050  7.90637E-02
 261    209.086    -36.050 -5.28956E-02
 262    223.736    -36.050  0.59240    
 263    238.386    -36.050  0.64450    
 264    238.386    -21.400 -3.23346E-02
 265    223.736    -21.400 -1.76730E-02
 266    209.086    -21.400  0.34936    
 267    194.436    -21.400  4.87043E-02
 268    179.786    -21.400  0.26754    
 269    165.136    -21.400  2.07456E-03
 270    150.486    -21.400  0.54973    
 271    135.836    -21.400  0.43399    
 272    121.186    -21.400  0.26744    
 273    106.536    -21.400  0.27811    
 274     91.886    -21.400  0.29205    
 275     77.236    -21.400  0.18478    
