!
! 19-DEC-2018 13:39:13
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area -68.5 -67 /OUTPUT smm1_cn10_red_1.txt
!
 1    238.386   -226.500  8.72126E-02
 2    223.736   -226.500  9.07147E-02
 3    209.086   -226.500  9.18550E-02
 4    194.436   -226.500  9.95552E-02
 5    179.786   -226.500  9.50595E-02
 6    165.136   -226.500 -0.14711    
 7    150.486   -226.500 -0.16299    
 8    135.836   -226.500 -1.56744E-02
 9    121.186   -226.500  1.95674E-02
 10    106.536   -226.500 -5.88575E-03
 11     91.886   -226.500 -1.01284E-02
 12     77.236   -226.500 -1.07644E-02
 13     33.286   -211.850  0.16424    
 14     47.936   -211.850 -2.99875E-03
 15     62.586   -211.850 -0.10467    
 16     77.236   -211.850 -6.91679E-02
 17     91.886   -211.850 -0.10184    
 18    106.536   -211.850 -9.66483E-02
 19    121.186   -211.850 -6.43326E-02
 20    135.836   -211.850 -3.46912E-02
 21    150.486   -211.850 -7.85961E-02
 22    165.136   -211.850 -1.33450E-02
 23    179.786   -211.850  0.11292    
 24    194.436   -211.850  7.03804E-02
 25    209.086   -211.850  5.50127E-02
 26    223.736   -211.850  5.28391E-02
 27    238.386   -211.850 -3.70346E-02
 28    253.036   -211.850 -0.16866    
 29    267.686   -211.850 -0.34609    
 30    267.686   -197.200 -9.18706E-02
 31    253.036   -197.200 -8.93145E-02
 32    238.386   -197.200 -4.54086E-02
 33    223.736   -197.200  4.22863E-02
 34    209.086   -197.200  3.71174E-02
 35    194.436   -197.200  5.02536E-02
 36    179.786   -197.200  9.45944E-02
 37    165.136   -197.200  4.87224E-02
 38    150.486   -197.200 -2.22391E-02
 39    135.836   -197.200 -4.18901E-02
 40    121.186   -197.200 -5.60022E-02
 41    106.536   -197.200 -6.65796E-02
 42     91.886   -197.200 -4.91617E-02
 43     77.236   -197.200  2.17020E-02
 44     62.586   -197.200 -8.08037E-02
 45     47.936   -197.200  1.59569E-02
 46     33.286   -197.200  6.76790E-02
 47     18.636   -197.200  7.30373E-02
 48    -39.964   -182.550 -0.25969    
 49    -25.314   -182.550 -0.28854    
 50    -10.664   -182.550 -0.29086    
 51      3.986   -182.550 -0.23485    
 52     18.636   -182.550  1.80303E-02
 53     33.286   -182.550  2.72630E-02
 54     47.936   -182.550  1.52121E-02
 55     62.586   -182.550 -4.63715E-02
 56     77.236   -182.550  2.68339E-02
 57     91.886   -182.550 -2.65168E-03
 58    106.536   -182.550 -1.75667E-02
 59    121.186   -182.550 -2.13842E-02
 60    135.836   -182.550 -3.65525E-02
 61    150.486   -182.550 -7.77171E-02
 62    165.136   -182.550  9.63919E-03
 63    179.786   -182.550  6.49427E-02
 64    194.436   -182.550  7.30231E-02
 65    209.086   -182.550  5.16690E-02
 66    223.736   -182.550  4.16957E-02
 67    238.386   -182.550  2.13280E-02
 68    253.036   -182.550 -5.28527E-03
 69    267.686   -182.550 -8.09603E-03
 70    267.686   -167.900  1.72800E-02
 71    253.036   -167.900  2.10600E-02
 72    238.386   -167.900  4.73130E-02
 73    223.736   -167.900  7.51331E-02
 74    209.086   -167.900  8.83626E-02
 75    194.436   -167.900  8.77890E-02
 76    179.786   -167.900  5.46925E-02
 77    165.136   -167.900 -3.56015E-02
 78    150.486   -167.900 -4.01133E-02
 79    135.836   -167.900 -2.14113E-02
 80    121.186   -167.900 -3.01215E-02
 81    106.536   -167.900 -1.98319E-02
 82     91.886   -167.900  7.68866E-03
 83     77.236   -167.900  1.22598E-02
 84     62.586   -167.900 -1.72162E-02
 85     47.936   -167.900 -1.40488E-02
 86     33.286   -167.900 -3.22906E-02
 87     18.636   -167.900 -0.24157    
 88      3.986   -167.900 -0.23536    
 89    -10.664   -167.900 -0.28996    
 90    -25.314   -167.900 -0.28716    
 91    -39.964   -167.900 -0.25239    
 92    -54.614   -167.900  6.67471E-02
 93    -69.264   -167.900  0.12493    
 94    -83.914   -167.900  0.15643    
 95    -98.564   -153.250  6.62052E-02
 96    -83.914   -153.250  8.94909E-02
 97    -69.264   -153.250  9.50445E-02
 98    -54.614   -153.250  0.12944    
 99    -39.964   -153.250 -0.17754    
 100    -25.314   -153.250 -0.27542    
 101    -10.664   -153.250 -0.28117    
 102      3.986   -153.250 -0.22940    
 103     18.636   -153.250 -0.27594    
 104     33.286   -153.250 -9.94957E-02
 105     47.936   -153.250 -4.55289E-02
 106     62.586   -153.250 -1.48297E-02
 107     77.236   -153.250 -2.07352E-02
 108     91.886   -153.250 -6.19914E-04
 109    106.536   -153.250 -1.84519E-02
 110    121.186   -153.250  5.37556E-03
 111    135.836   -153.250 -1.33273E-03
 112    150.486   -153.250 -9.25882E-03
 113    165.136   -153.250  1.56692E-02
 114    179.786   -153.250  2.74698E-02
 115    194.436   -153.250  8.64957E-02
 116    209.086   -153.250  0.19307    
 117    223.736   -153.250  0.12550    
 118    238.386   -153.250  3.06414E-02
 119    253.036   -153.250 -3.94163E-02
 120    267.686   -153.250 -5.35834E-02
 121    267.686   -138.600  6.52603E-02
 122    253.036   -138.600  6.66162E-02
 123    238.386   -138.600  7.80241E-02
 124    223.736   -138.600  0.13382    
 125    209.086   -138.600  0.18969    
 126    194.436   -138.600  8.17047E-02
 127    179.786   -138.600  2.37216E-03
 128    165.136   -138.600 -1.44907E-02
 129    150.486   -138.600 -1.16464E-02
 130    135.836   -138.600  4.75654E-02
 131    121.186   -138.600  4.24166E-02
 132    106.536   -138.600  3.76194E-02
 133     91.886   -138.600  1.92768E-02
 134     77.236   -138.600 -7.23003E-03
 135     62.586   -138.600 -1.74713E-02
 136     47.936   -138.600 -1.25176E-02
 137     33.286   -138.600 -0.12654    
 138     18.636   -138.600 -0.25687    
 139      3.986   -138.600 -0.17639    
 140    -10.664   -138.600 -0.20951    
 141    -25.314   -138.600 -0.17955    
 142    -39.964   -138.600  3.26243E-02
 143    -54.614   -138.600  0.12140    
 144    -69.264   -138.600  4.93253E-02
 145    -83.914   -138.600  8.17689E-03
 146    -98.564   -138.600 -3.06480E-02
 147    -98.564   -123.950 -7.63840E-02
 148    -83.914   -123.950 -4.47628E-02
 149    -69.264   -123.950  5.12797E-03
 150    -54.614   -123.950  9.02611E-02
 151    -39.964   -123.950  8.29439E-02
 152    -25.314   -123.950  1.98177E-02
 153    -10.664   -123.950 -2.44562E-02
 154      3.986   -123.950 -3.42910E-02
 155     18.636   -123.950 -0.17374    
 156     33.286   -123.950 -0.12068    
 157     47.936   -123.950 -5.23645E-02
 158     62.586   -123.950 -3.09760E-02
 159     77.236   -123.950 -5.38845E-02
 160     91.886   -123.950 -2.34515E-02
 161    106.536   -123.950  2.45165E-02
 162    121.186   -123.950  4.27074E-02
 163    135.836   -123.950  3.32337E-02
 164    150.486   -123.950 -4.13347E-02
 165    165.136   -123.950 -1.28754E-03
 166    179.786   -123.950  3.84704E-02
 167    194.436   -123.950  0.14086    
 168    209.086   -123.950  0.21026    
 169    223.736   -123.950  7.61033E-02
 170    238.386   -123.950 -4.78461E-03
 171    253.036   -123.950  6.34707E-02
 172    267.686   -123.950  8.55868E-02
 173    267.686   -109.300  3.57135E-02
 174    253.036   -109.300  1.93077E-02
 175    238.386   -109.300 -2.22027E-02
 176    223.736   -109.300  9.82350E-02
 177    209.086   -109.300  0.20312    
 178    194.436   -109.300  9.97938E-02
 179    179.786   -109.300  2.28398E-02
 180    165.136   -109.300  2.38988E-02
 181    150.486   -109.300  1.92151E-02
 182    135.836   -109.300  6.54510E-03
 183    121.186   -109.300  4.35299E-03
 184    106.536   -109.300 -2.85151E-02
 185     91.886   -109.300 -4.57787E-02
 186     77.236   -109.300 -4.40246E-02
 187     62.586   -109.300 -1.85260E-02
 188     47.936   -109.300 -2.66670E-02
 189     33.286   -109.300 -3.93141E-02
 190     18.636   -109.300 -7.97743E-02
