!
! 19-DEC-2018 13:37:36
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area -42 -39 /OUTPUT smm1_cn10_blue_2.txt
!
 1    238.386   -226.500  5.42100E-02
 2    223.736   -226.500  0.10534    
 3    209.086   -226.500  0.10825    
 4    194.436   -226.500  0.13292    
 5    179.786   -226.500  0.36627    
 6    165.136   -226.500   1.0163    
 7    150.486   -226.500  0.95155    
 8    135.836   -226.500  0.51430    
 9    121.186   -226.500  0.38274    
 10    106.536   -226.500  0.39983    
 11     91.886   -226.500  0.40332    
 12     77.236   -226.500  0.40386    
 13     33.286   -211.850  0.57633    
 14     47.936   -211.850 -9.53277E-02
 15     62.586   -211.850 -0.26786    
 16     77.236   -211.850  0.23710    
 17     91.886   -211.850  0.28709    
 18    106.536   -211.850  0.28801    
 19    121.186   -211.850  0.30069    
 20    135.836   -211.850  0.45956    
 21    150.486   -211.850  0.82795    
 22    165.136   -211.850  0.85083    
 23    179.786   -211.850  0.59248    
 24    194.436   -211.850  0.53837    
 25    209.086   -211.850  0.53486    
 26    223.736   -211.850  0.53449    
 27    238.386   -211.850  0.56307    
 28    253.036   -211.850  0.74833    
 29    267.686   -211.850  0.80681    
 30    267.686   -197.200  0.70150    
 31    253.036   -197.200  0.69401    
 32    238.386   -197.200  0.51840    
 33    223.736   -197.200  0.59566    
 34    209.086   -197.200   1.0127    
 35    194.436   -197.200  0.98736    
 36    179.786   -197.200  0.87093    
 37    165.136   -197.200  0.72069    
 38    150.486   -197.200  0.58631    
 39    135.836   -197.200  0.45021    
 40    121.186   -197.200  0.29770    
 41    106.536   -197.200  0.26227    
 42     91.886   -197.200  0.33874    
 43     77.236   -197.200  0.12397    
 44     62.586   -197.200 -0.22558    
 45     47.936   -197.200 -5.86353E-02
 46     33.286   -197.200  0.13331    
 47     18.636   -197.200  0.16294    
 48    -39.964   -182.550 -0.61226    
 49    -25.314   -182.550 -0.62160    
 50    -10.664   -182.550 -0.42880    
 51      3.986   -182.550 -0.37405    
 52     18.636   -182.550 -2.35742E-02
 53     33.286   -182.550 -2.09951E-02
 54     47.936   -182.550 -7.81718E-02
 55     62.586   -182.550 -0.15137    
 56     77.236   -182.550  0.15372    
 57     91.886   -182.550  0.48982    
 58    106.536   -182.550  0.66896    
 59    121.186   -182.550  0.66851    
 60    135.836   -182.550  0.69298    
 61    150.486   -182.550  0.70883    
 62    165.136   -182.550  0.85699    
 63    179.786   -182.550  0.85098    
 64    194.436   -182.550  0.87952    
 65    209.086   -182.550  0.73253    
 66    223.736   -182.550 -3.18801E-02
 67    238.386   -182.550  0.42287    
 68    253.036   -182.550  0.61464    
 69    267.686   -182.550  0.62751    
 70    267.686   -167.900  0.50138    
 71    253.036   -167.900  0.48314    
 72    238.386   -167.900  0.31509    
 73    223.736   -167.900  7.31447E-03
 74    209.086   -167.900  0.40285    
 75    194.436   -167.900  0.84666    
 76    179.786   -167.900  0.99557    
 77    165.136   -167.900   1.2064    
 78    150.486   -167.900   1.2188    
 79    135.836   -167.900  0.89224    
 80    121.186   -167.900  0.70032    
 81    106.536   -167.900  0.70033    
 82     91.886   -167.900  0.51943    
 83     77.236   -167.900  0.22892    
 84     62.586   -167.900 -6.88617E-03
 85     47.936   -167.900 -0.11912    
 86     33.286   -167.900 -0.17546    
 87     18.636   -167.900 -0.28466    
 88      3.986   -167.900 -0.37470    
 89    -10.664   -167.900 -0.42800    
 90    -25.314   -167.900 -0.61896    
 91    -39.964   -167.900 -0.59303    
 92    -54.614   -167.900 -9.33656E-02
 93    -69.264   -167.900 -1.41553E-02
 94    -83.914   -167.900 -0.12857    
 95    -98.564   -153.250 -7.93672E-02
 96    -83.914   -153.250 -4.59559E-02
 97    -69.264   -153.250  4.20994E-03
 98    -54.614   -153.250  3.21110E-02
 99    -39.964   -153.250 -0.45649    
 100    -25.314   -153.250 -0.59556    
 101    -10.664   -153.250 -0.42220    
 102      3.986   -153.250 -0.36985    
 103     18.636   -153.250 -0.29763    
 104     33.286   -153.250 -0.11381    
 105     47.936   -153.250 -3.83599E-02
 106     62.586   -153.250  0.21477    
 107     77.236   -153.250  0.37867    
 108     91.886   -153.250  0.60462    
 109    106.536   -153.250  0.86196    
 110    121.186   -153.250  0.98890    
 111    135.836   -153.250   1.2816    
 112    150.486   -153.250   1.7415    
 113    165.136   -153.250   1.7471    
 114    179.786   -153.250   1.3084    
 115    194.436   -153.250  0.94535    
 116    209.086   -153.250  0.42607    
 117    223.736   -153.250  0.20291    
 118    238.386   -153.250  0.34375    
 119    253.036   -153.250  0.41913    
 120    267.686   -153.250  0.43074    
 121    267.686   -138.600  0.61530    
 122    253.036   -138.600  0.61902    
 123    238.386   -138.600  0.60474    
 124    223.736   -138.600  0.42925    
 125    209.086   -138.600  0.51093    
 126    194.436   -138.600   1.0533    
 127    179.786   -138.600   1.5260    
 128    165.136   -138.600   1.9898    
 129    150.486   -138.600   1.9719    
 130    135.836   -138.600   1.5814    
 131    121.186   -138.600   1.3423    
 132    106.536   -138.600   1.1842    
 133     91.886   -138.600  0.83430    
 134     77.236   -138.600  0.57704    
 135     62.586   -138.600  0.37928    
 136     47.936   -138.600  8.79600E-02
 137     33.286   -138.600 -6.11400E-02
 138     18.636   -138.600 -0.25673    
 139      3.986   -138.600 -0.32249    
 140    -10.664   -138.600 -0.37176    
 141    -25.314   -138.600 -0.42743    
 142    -39.964   -138.600 -9.99485E-02
 143    -54.614   -138.600  6.38635E-02
 144    -69.264   -138.600  4.12335E-02
 145    -83.914   -138.600  1.94446E-02
 146    -98.564   -138.600  1.56137E-02
 147    -98.564   -123.950  9.34692E-02
 148    -83.914   -123.950  8.52417E-02
 149    -69.264   -123.950  8.79423E-02
 150    -54.614   -123.950  9.95624E-02
 151    -39.964   -123.950  7.86587E-03
 152    -25.314   -123.950 -0.10405    
 153    -10.664   -123.950 -0.15383    
 154      3.986   -123.950 -0.10278    
 155     18.636   -123.950 -3.76678E-02
 156     33.286   -123.950  7.21632E-02
 157     47.936   -123.950  0.13912    
 158     62.586   -123.950  0.43818    
 159     77.236   -123.950  0.67252    
 160     91.886   -123.950   1.0609    
 161    106.536   -123.950   1.5639    
 162    121.186   -123.950   1.8134    
 163    135.836   -123.950   1.8136    
 164    150.486   -123.950   1.8941    
 165    165.136   -123.950   1.8094    
 166    179.786   -123.950   1.3883    
 167    194.436   -123.950  0.97549    
 168    209.086   -123.950  0.54619    
 169    223.736   -123.950  0.34663    
 170    238.386   -123.950  0.38935    
 171    253.036   -123.950  0.38147    
 172    267.686   -123.950  0.37781    
 173    267.686   -109.300  0.34966    
 174    253.036   -109.300  0.32101    
 175    238.386   -109.300  0.20155    
 176    223.736   -109.300  7.78077E-02
 177    209.086   -109.300  0.21002    
 178    194.436   -109.300  0.65465    
 179    179.786   -109.300   1.0085    
 180    165.136   -109.300   1.5266    
 181    150.486   -109.300   1.9533    
 182    135.836   -109.300   1.9868    
 183    121.186   -109.300   1.9130    
 184    106.536   -109.300   1.6138    
 185     91.886   -109.300   1.0837    
 186     77.236   -109.300  0.67941    
 187     62.586   -109.300  0.53027    
 188     47.936   -109.300  0.35972    
 189     33.286   -109.300  0.30581    
 190     18.636   -109.300  0.25114    
 191      3.986   -109.300  0.11897    
 192    -10.664   -109.300  0.11384    
 193    -25.314   -109.300  7.50533E-02
 194    -39.964   -109.300  2.76071E-02
 195    -54.614   -109.300  0.13907    
 196    -69.264   -109.300  0.14373    
 197    -83.914   -109.300  0.15221    
 198    -98.564   -109.300  0.16205    
 199    -98.564    -94.650  0.24769    
 200    -83.914    -94.650  0.23570    
 201    -69.264    -94.650  0.20569    
 202    -54.614    -94.650  0.16033    
 203    -39.964    -94.650  7.65617E-02
 204    -25.314    -94.650  0.20932    
 205    -10.664    -94.650  0.21550    
 206      3.986    -94.650  0.25668    
 207     18.636    -94.650  0.47356    
 208     33.286    -94.650  0.53189    
 209     47.936    -94.650  0.60625    
 210     62.586    -94.650  0.74824    
 211     77.236    -94.650  0.84808    
 212     91.886    -94.650   1.0627    
 213    106.536    -94.650   1.4714    
 214    121.186    -94.650   1.8496    
 215    135.836    -94.650   2.1192    
 216    150.486    -94.650   2.0105    
 217    165.136    -94.650   1.2744    
 218    179.786    -94.650  0.73859    
 219    194.436    -94.650  0.50661    
 220    209.086    -94.650  0.22907    
 221    223.736    -94.650  0.22214    
 222    238.386    -94.650  0.35519    
 223    253.036    -94.650  0.40386    
 224    267.686    -94.650  0.41296    
 225    267.686    -80.000  0.41910    
 226    253.036    -80.000  0.43627    
 227    238.386    -80.000  0.48030    
 228    223.736    -80.000  0.35999    
 229    209.086    -80.000  0.41839    
 230    194.436    -80.000  0.64677    
 231    179.786    -80.000  0.77867    
 232    165.136    -80.000   1.1901    
 233    150.486    -80.000   1.9402    
 234    135.836    -80.000   2.2259    
 235    121.186    -80.000   1.9194    
 236    106.536    -80.000   1.2403    
 237     91.886    -80.000  0.78159    
 238     77.236    -80.000  0.74632    
 239     62.586    -80.000  0.80861    
 240     47.936    -80.000  0.78664    
 241     33.286    -80.000  0.66779    
 242     18.636    -80.000  0.57161    
 243      3.986    -80.000  0.38121    
 244    -10.664    -80.000  0.26288    
 245    -25.314    -80.000  0.16466    
 246    -39.964    -80.000  0.10836    
 247    -54.614    -80.000  8.16867E-02
 248    -69.264    -80.000  0.14027    
 249    -83.914    -80.000  0.20282    
 250    -98.564    -80.000  0.23146    
 251    -98.564    -65.350  0.12256    
 252    -83.914    -65.350  0.12359    
 253    -69.264    -65.350  0.13451    
 254    -54.614    -65.350  0.18845    
 255    -39.964    -65.350  0.23974    
 256    -25.314    -65.350  0.20187    
 257    -10.664    -65.350  0.32077    
 258      3.986    -65.350  0.51515    
 259     18.636    -65.350  0.67898    
 260     33.286    -65.350  0.64869    
 261     47.936    -65.350  0.58777    
 262     62.586    -65.350  0.53581    
 263     77.236    -65.350  0.43404    
 264     91.886    -65.350  0.55499    
 265    106.536    -65.350   1.1027    
 266    121.186    -65.350   1.9188    
 267    135.836    -65.350   2.2856    
 268    150.486    -65.350   1.9348    
 269    165.136    -65.350   1.1587    
 270    179.786    -65.350  0.79317    
 271    194.436    -65.350  0.60913    
 272    209.086    -65.350  0.34772    
 273    223.736    -65.350  0.22695    
 274    238.386    -65.350  0.29324    
 275    253.036    -65.350  0.21388    
 276    267.686    -65.350  0.18851    
 277    267.686    -50.700  0.14940    
 278    253.036    -50.700  0.13385    
 279    238.386    -50.700  8.51827E-02
 280    223.736    -50.700  0.12076    
 281    209.086    -50.700  0.24697    
 282    194.436    -50.700  0.33626    
 283    179.786    -50.700  0.61874    
 284    165.136    -50.700  0.98672    
 285    150.486    -50.700   1.5829    
 286    135.836    -50.700   1.8742    
 287    121.186    -50.700   1.5274    
 288    106.536    -50.700  0.88394    
 289     91.886    -50.700  0.45250    
 290     77.236    -50.700  0.24915    
 291     62.586    -50.700  0.31906    
 292     47.936    -50.700  0.37110    
 293     33.286    -50.700  0.47998    
