!
! 05-APR-2020 19:47:12
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area 13.5 14.4 /OUTPUT serpens_cn10_blue5_smm4.txt
!
 1    238.386   -226.500  3.20985E-02
 2    223.736   -226.500  2.57837E-02
 3    209.086   -226.500  2.55579E-02
 4    194.436   -226.500  2.38554E-02
 5    179.786   -226.500  1.70220E-02
 6    165.136   -226.500  7.77872E-02
 7    150.486   -226.500  0.22684    
 8    135.836   -226.500  0.19868    
 9    121.186   -226.500  0.29687    
 10    106.536   -226.500  0.33573    
 11     91.886   -226.500  0.34111    
 12     77.236   -226.500  0.34186    
 13     33.286   -211.850  0.19699    
 14     47.936   -211.850  6.26619E-02
 15     62.586   -211.850 -4.40442E-03
 16     77.236   -211.850  0.20917    
 17     91.886   -211.850  0.24646    
 18    106.536   -211.850  0.24278    
 19    121.186   -211.850  0.21843    
 20    135.836   -211.850  0.17438    
 21    150.486   -211.850  0.21799    
 22    165.136   -211.850  0.11023    
 23    179.786   -211.850  5.56847E-02
 24    194.436   -211.850  5.85220E-02
 25    209.086   -211.850  5.95813E-02
 26    223.736   -211.850  5.97331E-02
 27    238.386   -211.850  4.24032E-03
 28    253.036   -211.850 -6.86787E-02
 29    267.686   -211.850 -0.14876    
 30    267.686   -197.200 -2.82860E-02
 31    253.036   -197.200 -2.87786E-02
 32    238.386   -197.200 -7.09138E-04
 33    223.736   -197.200  0.12896    
 34    209.086   -197.200  0.11308    
 35    194.436   -197.200  0.10111    
 36    179.786   -197.200  5.67450E-02
 37    165.136   -197.200  9.16631E-02
 38    150.486   -197.200  0.19143    
 39    135.836   -197.200  0.23040    
 40    121.186   -197.200  0.25445    
 41    106.536   -197.200  0.25937    
 42     91.886   -197.200  0.22577    
 43     77.236   -197.200  0.11755    
 44     62.586   -197.200  4.51169E-03
 45     47.936   -197.200  5.65612E-02
 46     33.286   -197.200  8.27315E-02
 47     18.636   -197.200  8.41821E-02
 48    -39.964   -182.550 -0.18394    
 49    -25.314   -182.550 -0.15659    
 50    -10.664   -182.550 -0.14787    
 51      3.986   -182.550 -6.32047E-02
 52     18.636   -182.550  4.24062E-02
 53     33.286   -182.550  4.39611E-02
 54     47.936   -182.550  4.06884E-02
 55     62.586   -182.550  1.84170E-02
 56     77.236   -182.550  0.12512    
 57     91.886   -182.550  0.17996    
 58    106.536   -182.550  0.23830    
 59    121.186   -182.550  0.33150    
 60    135.836   -182.550  0.24440    
 61    150.486   -182.550  0.15362    
 62    165.136   -182.550  9.34742E-02
 63    179.786   -182.550  9.38011E-02
 64    194.436   -182.550  9.46440E-02
 65    209.086   -182.550  0.13623    
 66    223.736   -182.550  0.14512    
 67    238.386   -182.550  3.08369E-02
 68    253.036   -182.550  1.74367E-02
 69    267.686   -182.550  1.99822E-02
 70    267.686   -167.900  6.90459E-02
 71    253.036   -167.900  6.38895E-02
 72    238.386   -167.900  6.20116E-02
 73    223.736   -167.900  0.14449    
 74    209.086   -167.900  0.13353    
 75    194.436   -167.900  0.10115    
 76    179.786   -167.900  0.12604    
 77    165.136   -167.900  0.22153    
 78    150.486   -167.900  0.34995    
 79    135.836   -167.900  0.35149    
 80    121.186   -167.900  0.24696    
 81    106.536   -167.900  0.14073    
 82     91.886   -167.900  0.19565    
 83     77.236   -167.900  0.13544    
 84     62.586   -167.900  4.45948E-02
 85     47.936   -167.900  2.01438E-02
 86     33.286   -167.900  4.28104E-03
 87     18.636   -167.900  4.34384E-04
 88      3.986   -167.900 -6.34268E-02
 89    -10.664   -167.900 -0.14738    
 90    -25.314   -167.900 -0.15524    
 91    -39.964   -167.900 -0.18148    
 92    -54.614   -167.900  2.61988E-02
 93    -69.264   -167.900  0.19153    
 94    -83.914   -167.900  0.26186    
 95    -98.564   -153.250  0.20953    
 96    -83.914   -153.250  0.21250    
 97    -69.264   -153.250  0.17510    
 98    -54.614   -153.250  7.57744E-02
 99    -39.964   -153.250 -0.12754    
 100    -25.314   -153.250 -0.14684    
 101    -10.664   -153.250 -0.14444    
 102      3.986   -153.250 -6.21089E-02
 103     18.636   -153.250 -7.47683E-04
