!
! 19-DEC-2018 14:40:14
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area -72.5 -70.5 /OUTPUT smm34_cn10_blue_1.txt
!
 1    238.386   -226.500  6.02672E-02
 2    223.736   -226.500  6.13161E-02
 3    209.086   -226.500  6.19344E-02
 4    194.436   -226.500  6.62779E-02
 5    179.786   -226.500  7.25040E-02
 6    165.136   -226.500 -1.17559E-02
 7    150.486   -226.500 -4.17264E-02
 8    135.836   -226.500  3.21417E-02
 9    121.186   -226.500  0.16752    
 10    106.536   -226.500  0.18741    
 11     91.886   -226.500  0.18956    
 12     77.236   -226.500  0.18986    
 13     33.286   -211.850 -0.42862    
 14     47.936   -211.850 -0.11805    
 15     62.586   -211.850 -5.93036E-02
 16     77.236   -211.850  7.53683E-02
 17     91.886   -211.850  0.13605    
 18    106.536   -211.850  0.13430    
 19    121.186   -211.850  0.12117    
 20    135.836   -211.850  6.87745E-02
 21    150.486   -211.850  1.51390E-02
 22    165.136   -211.850 -3.16923E-02
 23    179.786   -211.850  8.13596E-03
 24    194.436   -211.850  9.02024E-03
 25    209.086   -211.850  6.96764E-03
 26    223.736   -211.850  6.64333E-03
 27    238.386   -211.850  2.37314E-02
 28    253.036   -211.850  6.98261E-02
 29    267.686   -211.850  4.14371E-02
 30    267.686   -197.200  5.69242E-02
 31    253.036   -197.200  5.75212E-02
 32    238.386   -197.200  2.51912E-02
 33    223.736   -197.200 -2.04689E-02
 34    209.086   -197.200  6.08367E-02
 35    194.436   -197.200  5.40958E-02
 36    179.786   -197.200  2.62453E-02
 37    165.136   -197.200  1.76517E-02
 38    150.486   -197.200  1.64037E-02
 39    135.836   -197.200  3.93398E-02
 40    121.186   -197.200  0.11674    
 41    106.536   -197.200  0.14119    
 42     91.886   -197.200  5.42817E-02
 43     77.236   -197.200 -7.69031E-02
 44     62.586   -197.200 -5.60595E-02
 45     47.936   -197.200 -0.12391    
 46     33.286   -197.200 -0.23667    
 47     18.636   -197.200 -0.26384    
 48    -39.964   -182.550 -0.17574    
 49    -25.314   -182.550 -0.20599    
 50    -10.664   -182.550 -0.28925    
 51      3.986   -182.550 -0.23354    
 52     18.636   -182.550 -0.19800    
 53     33.286   -182.550 -0.19140    
 54     47.936   -182.550 -0.11279    
 55     62.586   -182.550 -5.05364E-02
 56     77.236   -182.550 -7.28164E-02
 57     91.886   -182.550 -8.47725E-02
 58    106.536   -182.550  9.46348E-03
 59    121.186   -182.550  2.38559E-02
 60    135.836   -182.550 -3.69201E-02
 61    150.486   -182.550  5.75695E-02
 62    165.136   -182.550  9.83450E-02
 63    179.786   -182.550  0.13828    
