!
! 05-APR-2020 19:44:40
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 13.34 14.7 /OUTPUT serpens_hcn10_red3.txt
!
 1     33.286   -211.850 -7.66807E-02
 2     47.936   -211.850  6.30553E-02
 3     62.586   -211.850  2.52777E-02
 4     77.236   -211.850 -0.10528    
 5     91.886   -211.850  0.24905    
 6    106.536   -211.850  0.37892    
 7    121.186   -211.850  0.62712    
 8    135.836   -211.850  0.60860    
 9    150.486   -211.850  0.37793    
 10    165.136   -211.850  0.25083    
 11    179.786   -211.850 -1.61701E-03
 12    194.436   -211.850  4.00096E-02
 13    209.086   -211.850  0.11210    
 14    223.736   -211.850  6.43609E-02
 15    238.386   -211.850  0.18357    
 16    238.386   -197.200  0.14707    
 17    223.736   -197.200  0.13312    
 18    209.086   -197.200  0.10995    
 19    194.436   -197.200  3.76683E-02
 20    179.786   -197.200 -5.19245E-03
 21    165.136   -197.200  0.24937    
 22    150.486   -197.200  0.38384    
 23    135.836   -197.200  0.61433    
 24    121.186   -197.200  0.65185    
 25    106.536   -197.200  0.38210    
 26     91.886   -197.200  0.24113    
 27     77.236   -197.200 -8.51297E-02
 28     62.586   -197.200  2.58601E-02
 29     47.936   -197.200  6.16466E-02
 30     33.286   -197.200 -1.50276E-02
 31     18.636   -197.200  0.13396    
 32     18.636   -182.550 -0.17000    
 33     33.286   -182.550 -8.26184E-02
 34     47.936   -182.550  1.00416E-02
 35     62.586   -182.550  0.10227    
 36     77.236   -182.550  3.03596E-02
 37     91.886   -182.550  0.19061    
 38    106.536   -182.550  0.44433    
 39    121.186   -182.550  0.98982    
 40    135.836   -182.550  0.88763    
 41    150.486   -182.550  0.37889    
 42    165.136   -182.550  4.50283E-02
 43    179.786   -182.550  2.37994E-02
 44    194.436   -182.550 -9.15583E-02
 45    209.086   -182.550  6.20444E-02
 46    223.736   -182.550 -2.82738E-02
 47    238.386   -182.550 -3.78350E-02
 48    238.386   -167.900 -2.71783E-02
 49    223.736   -167.900 -2.72804E-02
 50    209.086   -167.900  9.87268E-02
 51    194.436   -167.900 -2.31923E-02
 52    179.786   -167.900  3.41493E-02
 53    165.136   -167.900  0.11786    
 54    150.486   -167.900  0.39797    
 55    135.836   -167.900  0.88260    
 56    121.186   -167.900  0.76350    
 57    106.536   -167.900  0.48643    
 58     91.886   -167.900  0.20521    
 59     77.236   -167.900  0.11390    
 60     62.586   -167.900  0.11572    
 61     47.936   -167.900  1.23962E-02
 62     33.286   -167.900 -2.47837E-02
 63     18.636   -167.900 -2.89911E-02
 64     18.636   -153.250 -7.94931E-03
 65     33.286   -153.250  1.56185E-02
 66     47.936   -153.250  0.17761    
 67     62.586   -153.250  0.14870    
 68     77.236   -153.250  5.06595E-02
 69     91.886   -153.250  0.31334    
 70    106.536   -153.250  0.66431    
 71    121.186   -153.250  0.79858    
 72    135.836   -153.250  0.65843    
 73    150.486   -153.250  0.39538    
 74    165.136   -153.250  0.14206    
 75    179.786   -153.250  7.28333E-02
 76    194.436   -153.250  7.93327E-02
 77    209.086   -153.250  0.12950    
 78    223.736   -153.250  1.61999E-02
 79    238.386   -153.250 -4.92660E-04
 80    238.386   -138.600  3.82491E-03
 81    223.736   -138.600  1.06835E-02
 82    209.086   -138.600  0.17091    
 83    194.436   -138.600  7.94919E-02
 84    179.786   -138.600  0.18832    
 85    165.136   -138.600  9.20203E-02
 86    150.486   -138.600  0.27994    
 87    135.836   -138.600  0.57823    
 88    121.186   -138.600  0.75736    
 89    106.536   -138.600  0.60929    
 90     91.886   -138.600  0.28216    
 91     77.236   -138.600  0.24006    
 92     62.586   -138.600  0.20121    
 93     47.936   -138.600  0.26662    
 94     33.286   -138.600  0.27603    
 95     18.636   -138.600  0.26647    
 96      3.986   -138.600  0.21466    
 97    -10.664   -138.600  0.16925    
 98    -25.314   -138.600  0.14354    
 99    -39.964   -138.600  0.20261    
 100    -54.614   -138.600  0.23308    
 101    -69.264   -138.600  0.19852    
 102    -83.914   -138.600  0.15908    
 103    -83.914   -123.950  0.15150    
