!
! 18-DEC-2018 16:14:36
! Input file  : serpens_co65_conv.30m
! Input command: ANALYSE\PRINT area 10.5 31 /OUTPUT smm3_co65_red.txt
!
 173    191.664   -196.200   6.3119    
 174    196.464   -196.200   10.526    
 175    201.264   -196.200   10.055    
 176    206.064   -196.200   8.1380    
 177    210.864   -196.200   8.5144    
 178    210.864   -191.400  -3.3797    
 179    206.064   -191.400  -3.7876    
 180    201.264   -191.400  -1.7494    
 181    196.464   -191.400  -3.6961    
 182    191.664   -191.400 -5.87063E-02
 183    186.864   -191.400   6.4416    
 184    182.064   -191.400  -3.5306    
 185    177.264   -191.400  -4.3070    
 186    172.464   -191.400  0.82879    
 187    167.664   -191.400   1.2945    
 188    162.864   -191.400 -0.28294    
 189    158.064   -191.400  -2.4387    
 190    153.264   -191.400   3.9711    
 191    148.464   -191.400   2.4906    
 192    143.664   -191.400 -0.38581    
 193    138.864   -191.400  0.29801    
 194    134.064   -191.400   5.2545    
 195    129.264   -191.400   7.8156    
 196    124.464   -191.400   11.751    
 197    119.664   -191.400   21.038    
 198    114.864   -191.400   9.7418    
 199    110.064   -191.400   9.4970    
 200    105.264   -191.400   5.4234    
 201    100.464   -191.400   5.5866    
 202     95.664   -191.400   3.3359    
 203     90.864   -191.400   3.2793    
 204     86.064   -191.400   3.0428    
 205     81.264   -191.400   3.7779    
 206     76.464   -191.400  0.86343    
 207     71.664   -191.400  0.23377    
 208     66.864   -191.400   1.3113    
 209     62.064   -191.400 -0.59462    
 210     57.264   -191.400  -1.1632    
 211     52.464   -191.400  0.48660    
 212     47.664   -191.400   3.7696    
 213     42.864   -191.400   1.0473    
 214     38.064   -191.400  -2.7582    
 215     33.264   -191.400  -6.8037    
 216     28.464   -191.400 -0.80512    
 217     23.664   -191.400  -2.5547    
 218     18.864   -191.400   2.8116    
 219     14.064   -191.400  -3.1442    
 220      9.264   -191.400  0.48321    
 221      4.464   -191.400   2.4193    
 222     -0.336   -191.400   3.6710    
 223     -5.136   -191.400   1.1503    
 224     -9.936   -191.400   2.5595    
 225    -14.736   -191.400   1.4393    
 226    -14.736   -186.600   1.2320    
 227     -9.936   -186.600  -1.1157    
 228     -5.136   -186.600  -6.5540    
 229     -0.336   -186.600  0.14208    
 230      4.464   -186.600  -2.9317    
 231      9.264   -186.600   4.5094    
 232     14.064   -186.600  0.28106    
 233     18.864   -186.600  0.46783    
 234     23.664   -186.600  0.48227    
 235     28.464   -186.600  -2.0843    
 236     33.264   -186.600  -3.1293    
 237     38.064   -186.600 -0.66867    
 238     42.864   -186.600   3.6521    
 239     47.664   -186.600 -0.14063    
 240     52.464   -186.600  -2.0499    
 241     57.264   -186.600  -4.6481    
 242     62.064   -186.600   5.6970    
 243     66.864   -186.600  -1.9988    
 244     71.664   -186.600  0.16048    
 245     76.464   -186.600   3.6210    
 246     81.264   -186.600   2.1206    
 247     86.064   -186.600 -0.27136    
 248     90.864   -186.600   2.1810    
 249     95.664   -186.600   2.5814    
 250    100.464   -186.600   5.2946    
 251    105.264   -186.600   4.8053    
 252    110.064   -186.600   7.8958    
 253    114.864   -186.600   12.187    
 254    119.664   -186.600   19.269    
 255    124.464   -186.600   18.186    
 256    129.264   -186.600   13.013    
 257    134.064   -186.600   8.3722    
 258    138.864   -186.600   6.3331    
 259    143.664   -186.600   3.3803    
 260    148.464   -186.600   3.0198    
 261    153.264   -186.600   1.5046    
 262    158.064   -186.600  0.26076    
 263    162.864   -186.600   2.0806    
 264    167.664   -186.600   2.6531    
 265    172.464   -186.600   2.0212    
 266    177.264   -186.600   4.1458    
 267    182.064   -186.600   3.5923    
 268    186.864   -186.600   1.2917    
 269    191.664   -186.600 -7.11051E-02
 270    196.464   -186.600   4.0433    
 271    201.264   -186.600  -1.8962    
 272    206.064   -186.600   5.7306    
 273    210.864   -186.600   6.2129    
 274    215.664   -181.800   5.3212    
 275    210.864   -181.800  -3.8551    
 276    206.064   -181.800  -1.7371    
 277    201.264   -181.800  0.56961    
 278    196.464   -181.800   3.4933    
 279    191.664   -181.800   2.1378    
 280    186.864   -181.800   9.6479    
 281    182.064   -181.800   4.1960    
 282    177.264   -181.800   5.3781    
 283    172.464   -181.800  0.39125    
 284    167.664   -181.800  0.82227    
 285    162.864   -181.800   1.3769    
 286    158.064   -181.800  0.73333    
 287    153.264   -181.800   1.2144    
 288    148.464   -181.800   1.8629    
 289    143.664   -181.800   7.8345    
 290    138.864   -181.800   14.290    
 291    134.064   -181.800   14.651    
 292    129.264   -181.800   15.922    
 293    124.464   -181.800   15.339    
 294    119.664   -181.800   17.427    
 295    114.864   -181.800   11.945    
 296    110.064   -181.800   8.1385    
 297    105.264   -181.800   8.2978    
 298    100.464   -181.800   5.9149    
 299     95.664   -181.800   1.4776    
 300     90.864   -181.800   1.5623    
 301     86.064   -181.800  0.81194    
 302     81.264   -181.800   2.5805    
 303     76.464   -181.800   3.4368    
 304     71.664   -181.800 -0.57817    
 305     66.864   -181.800 -0.53029    
 306     62.064   -181.800   3.4426    
 307     57.264   -181.800 -0.26151    
 308     52.464   -181.800  -2.9035    
 309     47.664   -181.800 -0.60485    
 310     42.864   -181.800   5.1934    
