!
! 05-APR-2020 19:44:45
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 8.5 9.2 /OUTPUT serpens_hcn10_red2.txt
!
 1     33.286   -211.850  6.00131E-02
 2     47.936   -211.850  8.04952E-02
 3     62.586   -211.850  0.11956    
 4     77.236   -211.850 -2.06074E-02
 5     91.886   -211.850  7.82763E-02
 6    106.536   -211.850  0.34684    
 7    121.186   -211.850  0.59661    
 8    135.836   -211.850  0.61443    
 9    150.486   -211.850  0.52203    
 10    165.136   -211.850  0.35427    
 11    179.786   -211.850  0.33173    
 12    194.436   -211.850  0.19083    
 13    209.086   -211.850  6.61560E-02
 14    223.736   -211.850  0.19608    
 15    238.386   -211.850  0.20965    
 16    238.386   -197.200  0.19105    
 17    223.736   -197.200  0.17861    
 18    209.086   -197.200  6.05947E-02
 19    194.436   -197.200  0.18892    
 20    179.786   -197.200  0.31293    
 21    165.136   -197.200  0.35322    
 22    150.486   -197.200  0.52545    
 23    135.836   -197.200  0.60266    
 24    121.186   -197.200  0.58865    
 25    106.536   -197.200  0.34697    
 26     91.886   -197.200  7.73353E-02
 27     77.236   -197.200 -1.17682E-02
 28     62.586   -197.200  0.11932    
 29     47.936   -197.200  7.97139E-02
 30     33.286   -197.200  6.49196E-02
 31     18.636   -197.200  7.62814E-02
 32     18.636   -182.550  0.11446    
 33     33.286   -182.550  8.24293E-02
 34     47.936   -182.550  0.10489    
 35     62.586   -182.550  6.85125E-02
 36     77.236   -182.550  3.80803E-02
 37     91.886   -182.550  7.89820E-02
 38    106.536   -182.550  0.30722    
 39    121.186   -182.550  0.57742    
 40    135.836   -182.550  0.66867    
 41    150.486   -182.550  0.48998    
 42    165.136   -182.550  0.22659    
 43    179.786   -182.550  0.11914    
 44    194.436   -182.550  3.43902E-02
 45    209.086   -182.550  8.40487E-02
 46    223.736   -182.550  9.93730E-02
 47    238.386   -182.550  0.10558    
 48    238.386   -167.900  2.13604E-02
 49    223.736   -167.900  3.58293E-02
 50    209.086   -167.900  9.11483E-02
 51    194.436   -167.900  5.95173E-02
 52    179.786   -167.900  5.14615E-02
 53    165.136   -167.900  0.26273    
 54    150.486   -167.900  0.35682    
 55    135.836   -167.900  0.52576    
