!
! 19-DEC-2018 13:40:20
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area 9.5 12.5 /OUTPUT smm1_cn10_red_4.txt
!
 1    238.386   -226.500  0.43077    
 2    223.736   -226.500  0.41101    
 3    209.086   -226.500  0.40998    
 4    194.436   -226.500  0.40230    
 5    179.786   -226.500  0.36821    
 6    165.136   -226.500  0.31872    
 7    150.486   -226.500  7.69146E-02
 8    135.836   -226.500  3.67812E-02
 9    121.186   -226.500  0.13048    
 10    106.536   -226.500  0.16673    
 11     91.886   -226.500  0.17178    
 12     77.236   -226.500  0.17234    
 13     33.286   -211.850 -0.29062    
 14     47.936   -211.850 -1.96191E-02
 15     62.586   -211.850  0.10844    
 16     77.236   -211.850  0.17724    
 17     91.886   -211.850  0.16387    
 18    106.536   -211.850  0.16122    
 19    121.186   -211.850  0.14554    
 20    135.836   -211.850  0.13760    
 21    150.486   -211.850  0.12192    
 22    165.136   -211.850  0.15224    
 23    179.786   -211.850  5.50736E-02
 24    194.436   -211.850  9.42972E-02
 25    209.086   -211.850  0.10954    
 26    223.736   -211.850  0.11172    
 27    238.386   -211.850  6.88800E-02
 28    253.036   -211.850 -3.19481E-02
 29    267.686   -211.850 -0.13686    
 30    267.686   -197.200 -2.16795E-02
 31    253.036   -197.200 -1.75737E-02
 32    238.386   -197.200  6.07159E-02
 33    223.736   -197.200  0.16589    
 34    209.086   -197.200  5.99252E-02
 35    194.436   -197.200  3.24198E-02
 36    179.786   -197.200 -3.31966E-02
 37    165.136   -197.200  0.14278    
 38    150.486   -197.200  5.35632E-02
 39    135.836   -197.200  0.22838    
 40    121.186   -197.200  0.40065    
 41    106.536   -197.200  0.42979    
 42     91.886   -197.200  0.39468    
 43     77.236   -197.200  0.22539    
 44     62.586   -197.200  0.12858    
 45     47.936   -197.200 -4.55952E-02
 46     33.286   -197.200 -0.25143    
 47     18.636   -197.200 -0.29285    
 48    -39.964   -182.550 -0.53528    
 49    -25.314   -182.550 -0.39394    
 50    -10.664   -182.550 -3.61904E-02
 51      3.986   -182.550  0.10371    
 52     18.636   -182.550 -0.32103    
 53     33.286   -182.550 -0.29053    
 54     47.936   -182.550 -8.64870E-02
 55     62.586   -182.550  0.15494    
 56     77.236   -182.550  0.24452    
 57     91.886   -182.550  0.35498    
 58    106.536   -182.550  0.71154    
 59    121.186   -182.550  0.90326    
 60    135.836   -182.550  0.50047    
 61    150.486   -182.550  0.15200    
 62    165.136   -182.550  0.32069    
 63    179.786   -182.550  7.30275E-02
 64    194.436   -182.550  4.27206E-02
 65    209.086   -182.550  0.25344    
 66    223.736   -182.550  0.27453    
 67    238.386   -182.550  6.90659E-02
 68    253.036   -182.550 -3.06050E-02
 69    267.686   -182.550 -3.86674E-02
 70    267.686   -167.900 -0.15015    
 71    253.036   -167.900 -0.13131    
 72    238.386   -167.900  1.65961E-02
 73    223.736   -167.900  0.23404    
 74    209.086   -167.900  0.35706    
 75    194.436   -167.900  0.14758    
 76    179.786   -167.900  3.09532E-02
 77    165.136   -167.900  9.00386E-02
 78    150.486   -167.900  0.24078    
 79    135.836   -167.900  0.73711    
 80    121.186   -167.900   1.0209    
 81    106.536   -167.900  0.53368    
 82     91.886   -167.900  0.37710    
 83     77.236   -167.900  0.26567    
 84     62.586   -167.900  0.17850    
 85     47.936   -167.900 -0.12439    
 86     33.286   -167.900 -0.31309    
 87     18.636   -167.900 -0.19756    
 88      3.986   -167.900  0.10401    
 89    -10.664   -167.900 -3.72708E-02
 90    -25.314   -167.900 -0.39295    
 91    -39.964   -167.900 -0.51284    
 92    -54.614   -167.900 -8.93495E-02
 93    -69.264   -167.900  0.21856    
 94    -83.914   -167.900  0.46176    
 95    -98.564   -153.250  0.42055    
 96    -83.914   -153.250  0.35092    
 97    -69.264   -153.250  0.20157    
 98    -54.614   -153.250  2.33841E-02
 99    -39.964   -153.250 -0.40336    
 100    -25.314   -153.250 -0.38738    
 101    -10.664   -153.250 -4.29217E-02
 102      3.986   -153.250  9.50967E-02
 103     18.636   -153.250 -0.16425    
 104     33.286   -153.250 -8.09301E-02
 105     47.936   -153.250 -2.74137E-02
 106     62.586   -153.250  0.20253    
 107     77.236   -153.250  0.30384    
 108     91.886   -153.250  0.38631    
 109    106.536   -153.250  0.67640    
 110    121.186   -153.250   1.1037    
 111    135.836   -153.250  0.86633    
 112    150.486   -153.250  0.34843    
 113    165.136   -153.250  0.12423    
 114    179.786   -153.250  8.21351E-02
 115    194.436   -153.250  0.22608    
 116    209.086   -153.250  0.29580    
 117    223.736   -153.250  0.17190    
 118    238.386   -153.250 -5.57995E-02
 119    253.036   -153.250 -0.22675    
 120    267.686   -153.250 -0.25939    
 121    267.686   -138.600  0.16018    
 122    253.036   -138.600  0.14447    
 123    238.386   -138.600  7.09166E-02
 124    223.736   -138.600  2.68741E-02
 125    209.086   -138.600  0.18104    
 126    194.436   -138.600  0.19616    
 127    179.786   -138.600  0.12723    
 128    165.136   -138.600  0.18790    
 129    150.486   -138.600  0.36027    
 130    135.836   -138.600  0.72135    
 131    121.186   -138.600   1.0066    
 132    106.536   -138.600  0.67968    
 133     91.886   -138.600  0.38344    
 134     77.236   -138.600  0.30261    
 135     62.586   -138.600  0.21343    
 136     47.936   -138.600  5.11896E-02
 137     33.286   -138.600 -1.11220E-04
 138     18.636   -138.600 -0.10397    
 139      3.986   -138.600  4.10938E-02
 140    -10.664   -138.600 -7.10132E-02
 141    -25.314   -138.600 -0.31651    
 142    -39.964   -138.600 -7.56139E-02
 143    -54.614   -138.600  3.11460E-02
 144    -69.264   -138.600  0.15788    
 145    -83.914   -138.600  0.23883    
 146    -98.564   -138.600  0.24020    
 147    -98.564   -123.950  2.13741E-02
 148    -83.914   -123.950  6.30152E-02
 149    -69.264   -123.950  7.50295E-02
 150    -54.614   -123.950  4.23342E-02
 151    -39.964   -123.950  7.38070E-02
 152    -25.314   -123.950 -2.30062E-02
 153    -10.664   -123.950 -1.48528E-02
 154      3.986   -123.950 -2.56910E-02
 155     18.636   -123.950  8.81567E-02
 156     33.286   -123.950  0.17797    
 157     47.936   -123.950  0.18123    
 158     62.586   -123.950  0.29064    
 159     77.236   -123.950  0.32106    
 160     91.886   -123.950  0.44290    
 161    106.536   -123.950  0.59734    
 162    121.186   -123.950  0.70305    
 163    135.836   -123.950  0.48687    
 164    150.486   -123.950  0.29423    
 165    165.136   -123.950  0.21503    
 166    179.786   -123.950  0.18446    
 167    194.436   -123.950  0.20584    
 168    209.086   -123.950  0.17225    
 169    223.736   -123.950 -9.53716E-03
 170    238.386   -123.950  8.35851E-02
 171    253.036   -123.950  0.23993    
 172    267.686   -123.950  0.27501    
 173    267.686   -109.300 -6.74705E-02
 174    253.036   -109.300 -6.60816E-02
 175    238.386   -109.300 -3.87656E-02
 176    223.736   -109.300  0.11429    
 177    209.086   -109.300  0.25669    
 178    194.436   -109.300  0.17037    
 179    179.786   -109.300  0.16037    
 180    165.136   -109.300  0.19276    
 181    150.486   -109.300  0.24522    
 182    135.836   -109.300  0.38689    
 183    121.186   -109.300  0.48463    
 184    106.536   -109.300  0.59423    
 185     91.886   -109.300  0.57886    
 186     77.236   -109.300  0.49059    
 187     62.586   -109.300  0.39344    
 188     47.936   -109.300  0.29076    
 189     33.286   -109.300  0.30099    
 190     18.636   -109.300  0.16069    
 191      3.986   -109.300  6.15684E-02
 192    -10.664   -109.300  0.16226    
 193    -25.314   -109.300  0.19302    
 194    -39.964   -109.300  0.10211    
 195    -54.614   -109.300  6.63995E-02
 196    -69.264   -109.300  2.64034E-02
 197    -83.914   -109.300 -1.96293E-02
 198    -98.564   -109.300 -5.57692E-02
 199    -98.564    -94.650  0.10975    
 200    -83.914    -94.650  0.11148    
 201    -69.264    -94.650  0.10795    
 202    -54.614    -94.650  0.10469    
 203    -39.964    -94.650  9.53116E-02
 204    -25.314    -94.650  0.13191    
 205    -10.664    -94.650  0.11195    
 206      3.986    -94.650  0.12564    
 207     18.636    -94.650  0.20330    
 208     33.286    -94.650  0.28969    
 209     47.936    -94.650  0.29357    
 210     62.586    -94.650  0.43733    
 211     77.236    -94.650  0.62859    
 212     91.886    -94.650  0.67994    
 213    106.536    -94.650  0.57347    
 214    121.186    -94.650  0.41951    
 215    135.836    -94.650  0.38594    
 216    150.486    -94.650  0.36661    
 217    165.136    -94.650  0.29171    
 218    179.786    -94.650  0.19859    
 219    194.436    -94.650  0.16663    
 220    209.086    -94.650  0.35292    
 221    223.736    -94.650  0.26118    
 222    238.386    -94.650  0.10126    
 223    253.036    -94.650 -8.69115E-02
 224    267.686    -94.650 -0.13267    
 225    267.686    -80.000 -2.97720E-02
 226    253.036    -80.000  2.47358E-03
 227    238.386    -80.000  0.14610    
 228    223.736    -80.000  0.29453    
 229    209.086    -80.000  0.47194    
 230    194.436    -80.000  0.38542    
 231    179.786    -80.000  0.30871    
 232    165.136    -80.000  0.38904    
 233    150.486    -80.000  0.37071    
 234    135.836    -80.000  0.37262    
 235    121.186    -80.000  0.38756    
 236    106.536    -80.000  0.33140    
 237     91.886    -80.000  0.41411    
 238     77.236    -80.000  0.52973    
 239     62.586    -80.000  0.42481    
 240     47.936    -80.000  0.29100    
 241     33.286    -80.000  0.21801    
 242     18.636    -80.000  0.14570    
 243      3.986    -80.000  0.23790    
 244    -10.664    -80.000  0.18185    
 245    -25.314    -80.000  0.17852    
 246    -39.964    -80.000  0.24789    
 247    -54.614    -80.000  0.17274    
