!
! 02-MAY-2019 21:54:14
! Input file  : serpens_h13cn10_red.30m
! Input command: ANALYSE\PRINT area 8.5 21.2 /OUTPUT serpens_h13cn10_int.txt
!
 179  *********   4387.700   3.0641    
 180  *********   4387.700   2.1650    
 181  *********   4387.700 -0.11818    
 182  *********   4387.700 -0.35371    
 183  *********   4387.700  0.85314    
 184  *********   4387.700   1.5901    
 185  *********   4387.700   1.7332    
 186  *********   4387.700   1.3066    
 187  *********   4387.700   2.0820    
 188  *********   4387.700  0.79022    
 189  *********   4387.700  0.87481    
 190  *********   4387.700  0.93510    
 191  *********   4387.700   1.8979    
 192  *********   4387.700  3.71771E-02
 193  *********   4387.700 -0.34951    
 194  *********   4387.700  0.49036    
 195  *********   4387.700   1.9891    
 196  *********   4387.700  0.95501    
 197  *********   4387.700  0.46754    
 198  *********   4387.700   1.7338    
 199  *********   4387.700   1.5491    
 200  *********   4387.700   3.9723    
 201  *********   4387.700   2.4550    
 202  *********   4387.700  -1.2145    
 203  *********   4387.700   2.9382    
 204  *********   4387.700   2.1901    
 205  *********   4387.700   1.7918    
 206  *********   4387.700  0.77607    
 207  *********   4387.700  0.59893    
 208  *********   4387.700   3.1310    
 209  *********   4387.700   2.8276    
 210  *********   4387.700   2.7309    
 211  *********   4387.700   2.1259    
 212  *********   4387.700   1.5613    
 213  *********   4387.700   1.5294    
 214  *********   4387.700   1.3944    
 215  *********   4387.700   2.4256    
 216  *********   4387.700   1.3738    
 217  *********   4387.700  0.12396    
 218  *********   4387.700   3.5919    
 219  *********   4387.700   1.2452    
 220  *********   4387.700   1.6244    
 221  *********   4387.700  0.83552    
 222  *********   4387.700 -0.65169    
 223  *********   4387.700  8.06699E-02
 224  *********   4387.700  1.98799E-02
 225  *********   4387.700 -0.20822    
 226  *********   4387.700  0.10798    
 227  *********   4387.700   1.1543    
 228  *********   4387.700  0.74629    
 229  *********   4387.700  0.23884    
 230  *********   4387.700  0.66270    
 231  *********   4387.700  -1.0533    
 232  *********   4387.700  0.25759    
 233  *********   4407.700  0.85985    
 234  *********   4407.700   2.2445    
 235  *********   4407.700  0.37328    
 236  *********   4407.700  -1.0279    
 237  *********   4407.700   2.0639    
 238  *********   4407.700   1.3803    
 239  *********   4407.700   1.9349    
 240  *********   4407.700 -0.87330    
 241  *********   4407.700   1.6496    
 242  *********   4407.700   2.5175    
 243  *********   4407.700   1.3838    
 244  *********   4407.700 -0.25192    
 245  *********   4407.700  0.60572    
 246  *********   4407.700   1.1016    
 247  *********   4407.700   1.3088    
 248  *********   4407.700   2.7875    
 249  *********   4407.700  0.30959    
 250  *********   4407.700   1.5136    
 251  *********   4407.700   1.9176    
 252  *********   4407.700   1.6062    
 253  *********   4407.700   1.2562    
 254  *********   4407.700  -1.3397    
 255  *********   4407.700   1.3022    
 256  *********   4407.700  8.17259E-02
 257  *********   4407.700  0.32447    
 258  *********   4407.700 -0.97254    
 259  *********   4407.700   2.2806    
 260  *********   4407.700 -0.27094    
 261  *********   4407.700  0.88322    
 262  *********   4407.700  0.50465    
