!
! 05-APR-2020 19:45:17
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 13.34 18.9 /OUTPUT serpens_hcn10_red3_smm4.txt
!
 1     33.286   -211.850 -1.11633E-02
 2     47.936   -211.850 -6.47538E-02
 3     62.586   -211.850 -3.79182E-02
 4     77.236   -211.850 -0.11231    
 5     91.886   -211.850  0.28781    
 6    106.536   -211.850   1.3852    
 7    121.186   -211.850   2.1153    
 8    135.836   -211.850   1.5248    
 9    150.486   -211.850  0.84688    
 10    165.136   -211.850  0.57397    
 11    179.786   -211.850  2.60440E-02
 12    194.436   -211.850  0.44704    
 13    209.086   -211.850  0.17692    
 14    223.736   -211.850  0.23096    
 15    238.386   -211.850 -1.76487E-02
 16    238.386   -197.200  2.41203E-02
 17    223.736   -197.200  4.34179E-02
 18    209.086   -197.200  0.17047    
 19    194.436   -197.200  0.44196    
 20    179.786   -197.200  5.68767E-02
 21    165.136   -197.200  0.57231    
 22    150.486   -197.200  0.85397    
 23    135.836   -197.200   1.5756    
 24    121.186   -197.200   2.1894    
 25    106.536   -197.200   1.4001    
 26     91.886   -197.200  0.29286    
 27     77.236   -197.200 -5.65838E-02
 28     62.586   -197.200 -3.74940E-02
 29     47.936   -197.200 -3.68713E-02
 30     33.286   -197.200  3.87407E-02
 31     18.636   -197.200  0.14650    
 32     18.636   -182.550 -0.20415    
 33     33.286   -182.550 -0.11986    
 34     47.936   -182.550 -0.10342    
 35     62.586   -182.550  8.38617E-02
 36     77.236   -182.550  0.24162    
 37     91.886   -182.550  0.58571    
 38    106.536   -182.550   1.8658    
 39    121.186   -182.550   3.3561    
 40    135.836   -182.550   2.6225    
 41    150.486   -182.550  0.94893    
 42    165.136   -182.550  7.62839E-03
 43    179.786   -182.550  8.08439E-02
 44    194.436   -182.550  4.25487E-02
 45    209.086   -182.550  0.15908    
 46    223.736   -182.550 -0.13901    
 47    238.386   -182.550 -0.14060    
 48    238.386   -167.900  9.58679E-02
 49    223.736   -167.900  0.10263    
 50    209.086   -167.900  0.14898    
 51    194.436   -167.900 -1.62973E-02
 52    179.786   -167.900  5.10559E-02
 53    165.136   -167.900  0.21317    
 54    150.486   -167.900  0.98458    
 55    135.836   -167.900   2.3999    
 56    121.186   -167.900   2.7261    
 57    106.536   -167.900   1.7435    
 58     91.886   -167.900  0.65501    
 59     77.236   -167.900  0.27807    
 60     62.586   -167.900  0.29972    
 61     47.936   -167.900  1.79089E-02
 62     33.286   -167.900 -0.15822    
 63     18.636   -167.900 -0.16538    
 64     18.636   -153.250 -0.22524    
 65     33.286   -153.250 -0.14058    
 66     47.936   -153.250  0.11988    
 67     62.586   -153.250  0.25443    
 68     77.236   -153.250  0.24725    
 69     91.886   -153.250  0.68864    
 70    106.536   -153.250   2.0446    
 71    121.186   -153.250   2.1457    
 72    135.836   -153.250   1.6676    
 73    150.486   -153.250  0.71172    
 74    165.136   -153.250  0.26881    
 75    179.786   -153.250  0.27634    
 76    194.436   -153.250  3.93215E-03
 77    209.086   -153.250 -4.65112E-02
 78    223.736   -153.250  0.20618    
 79    238.386   -153.250  0.22747    
 80    238.386   -138.600  0.17975    
 81    223.736   -138.600  0.18228    
 82    209.086   -138.600  0.22922    
 83    194.436   -138.600 -5.04167E-02
 84    179.786   -138.600  0.36063    
 85    165.136   -138.600  0.15162    
 86    150.486   -138.600  0.48425    
 87    135.836   -138.600   1.0548    
 88    121.186   -138.600   1.8910    
 89    106.536   -138.600   2.2864    
 90     91.886   -138.600  0.87760    
 91     77.236   -138.600  0.49899    
 92     62.586   -138.600  0.34289    
 93     47.936   -138.600  0.40932    
 94     33.286   -138.600  0.44960    
 95     18.636   -138.600  0.37590    
 96      3.986   -138.600  0.24202    
 97    -10.664   -138.600  0.20256    
 98    -25.314   -138.600  4.86298E-02
 99    -39.964   -138.600  0.18720    
 100    -54.614   -138.600  0.23524    
 101    -69.264   -138.600  0.10716    
 102    -83.914   -138.600 -0.13358    
 103    -83.914   -123.950 -0.11629    
 104    -69.264   -123.950 -9.33811E-02
 105    -54.614   -123.950  0.22975    
 106    -39.964   -123.950  0.19235    
 107    -25.314   -123.950  9.05460E-02
 108    -10.664   -123.950  0.19899    
 109      3.986   -123.950  0.21416    
 110     18.636   -123.950  0.25719    
 111     33.286   -123.950 -2.79740E-02
 112     47.936   -123.950  0.25023    
 113     62.586   -123.950  0.12328    
 114     77.236   -123.950  0.27962    
 115     91.886   -123.950  0.64168    
 116    106.536   -123.950   1.1975    
 117    121.186   -123.950   1.0565    
 118    135.836   -123.950  0.89645    
 119    150.486   -123.950  0.27676    
 120    165.136   -123.950  0.26805    
 121    179.786   -123.950  2.78630E-02
 122    194.436   -123.950 -9.78386E-02
 123    209.086   -123.950 -4.22272E-02
 124    223.736   -123.950  6.78931E-03
 125    238.386   -123.950  1.56288E-03
 126    238.386   -109.300 -0.12274    
 127    223.736   -109.300 -0.10687    
 128    209.086   -109.300  9.36958E-02
 129    194.436   -109.300  5.16189E-02
 130    179.786   -109.300  0.36667    
 131    165.136   -109.300  0.42058    
 132    150.486   -109.300  0.36803    
 133    135.836   -109.300  0.32868    
 134    121.186   -109.300  0.61365    
 135    106.536   -109.300  0.93726    
 136     91.886   -109.300  0.73403    
 137     77.236   -109.300  0.46361    
 138     62.586   -109.300  0.43355    
 139     47.936   -109.300  0.29615    
 140     33.286   -109.300  0.24282    
 141     18.636   -109.300  0.31820    
 142      3.986   -109.300  0.22418    
 143    -10.664   -109.300 -2.25307E-02
 144    -25.314   -109.300  0.18884    
 145    -39.964   -109.300  0.31924    
 146    -54.614   -109.300  0.34809    
 147    -69.264   -109.300  0.32203    
 148    -83.914   -109.300  0.31994    
 149    -83.914    -94.650  0.21926    
 150    -69.264    -94.650  0.24005    
 151    -54.614    -94.650  0.27789    
 152    -39.964    -94.650  0.45928    
 153    -25.314    -94.650  0.20877    
 154    -10.664    -94.650  4.87318E-02
 155      3.986    -94.650  0.16061    
 156     18.636    -94.650  2.03266E-03
 157     33.286    -94.650  7.87119E-02
 158     47.936    -94.650  0.11514    
 159     62.586    -94.650  0.41883    
 160     77.236    -94.650  0.27384    
 161     91.886    -94.650  0.72671    
 162    106.536    -94.650  0.67460    
 163    121.186    -94.650  0.42297    
 164    135.836    -94.650  0.32949    
 165    150.486    -94.650  0.28565    
 166    165.136    -94.650  0.62052    
 167    179.786    -94.650  0.17829    
 168    194.436    -94.650  5.58147E-02
 169    209.086    -94.650  0.33358    
 170    223.736    -94.650  8.85178E-02
 171    238.386    -94.650  8.66487E-02
 172    238.386    -80.000  0.43351    
 173    223.736    -80.000  0.43490    
 174    209.086    -80.000  0.37633    
 175    194.436    -80.000  0.44658    
 176    179.786    -80.000  0.38081    
 177    165.136    -80.000  0.66845    
 178    150.486    -80.000  0.43574    
 179    135.836    -80.000  0.17461    
 180    121.186    -80.000  0.30630    
 181    106.536    -80.000  0.43061    
 182     91.886    -80.000  0.35296    
 183     77.236    -80.000  0.34435    
 184     62.586    -80.000  0.23031    
 185     47.936    -80.000  0.21477    
 186     33.286    -80.000  4.68782E-02
 187     18.636    -80.000  0.20277    
 188      3.986    -80.000  0.46009    
 189    -10.664    -80.000  0.50822    
 190    -25.314    -80.000  0.20432    
 191    -39.964    -80.000  0.45529    
 192    -54.614    -80.000  0.19528    
 193    -69.264    -80.000 -8.59425E-02
 194    -83.914    -80.000 -0.12313    
 195    -83.914    -65.350  0.19577    
 196    -69.264    -65.350  0.22452    
 197    -54.614    -65.350  0.41459    
 198    -39.964    -65.350  0.58153    
 199    -25.314    -65.350  0.40854    
 200    -10.664    -65.350  0.55041    
 201      3.986    -65.350  0.36552    
 202     18.636    -65.350  0.10682    
 203     33.286    -65.350  0.20252    
 204     47.936    -65.350  0.11726    
 205     62.586    -65.350  0.38749    
