!
! 19-DEC-2018 15:15:41
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area -2 -0.5 /OUTPUT smm34_hcn10_blue_1.txt
!
 1     33.286   -211.850  0.14717    
 2     47.936   -211.850  0.16428    
 3     62.586   -211.850  0.21509    
 4     77.236   -211.850  0.11012    
 5     91.886   -211.850  7.69634E-02
 6    106.536   -211.850  0.14075    
 7    121.186   -211.850  0.22440    
 8    135.836   -211.850  0.58065    
 9    150.486   -211.850  0.36433    
 10    165.136   -211.850  0.62606    
 11    179.786   -211.850  0.89883    
 12    194.436   -211.850  0.86279    
 13    209.086   -211.850  0.64593    
 14    223.736   -211.850  0.54740    
 15    238.386   -211.850  0.43907    
 16    238.386   -197.200  0.43486    
 17    223.736   -197.200  0.44284    
 18    209.086   -197.200  0.63743    
 19    194.436   -197.200  0.86344    
 20    179.786   -197.200  0.90288    
 21    165.136   -197.200  0.62570    
 22    150.486   -197.200  0.36681    
 23    135.836   -197.200  0.55718    
 24    121.186   -197.200  0.24674    
 25    106.536   -197.200  0.14212    
 26     91.886   -197.200  7.80733E-02
 27     77.236   -197.200  0.11664    
 28     62.586   -197.200  0.21456    
 29     47.936   -197.200  0.17300    
 30     33.286   -197.200  7.84534E-02
 31     18.636   -197.200 -0.10091    
 32     18.636   -182.550  7.90015E-02
 33     33.286   -182.550  8.89559E-02
 34     47.936   -182.550  0.10093    
 35     62.586   -182.550  0.12131    
 36     77.236   -182.550  0.21119    
 37     91.886   -182.550  0.20879    
 38    106.536   -182.550  0.17434    
 39    121.186   -182.550  0.44717    
 40    135.836   -182.550  0.43443    
 41    150.486   -182.550  0.57261    
 42    165.136   -182.550  0.67442    
 43    179.786   -182.550  0.68130    
 44    194.436   -182.550  0.66380    
 45    209.086   -182.550  0.56111    
 46    223.736   -182.550  0.35158    
 47    238.386   -182.550  0.34537    
 48    238.386   -167.900  0.24065    
 49    223.736   -167.900  0.25222    
 50    209.086   -167.900  0.51450    
 51    194.436   -167.900  0.51112    
 52    179.786   -167.900  0.70401    
 53    165.136   -167.900  0.99481    
 54    150.486   -167.900  0.95425    
 55    135.836   -167.900  0.61345    
 56    121.186   -167.900  0.42162    
 57    106.536   -167.900  0.42102    
 58     91.886   -167.900  0.12417    
 59     77.236   -167.900  0.13636    
 60     62.586   -167.900  6.03007E-02
 61     47.936   -167.900  6.48058E-02
 62     33.286   -167.900  0.23327    
 63     18.636   -167.900  0.24107    
 64     18.636   -153.250  0.19912    
 65     33.286   -153.250  0.22468    
 66     47.936   -153.250 -2.34727E-02
 67     62.586   -153.250  5.72623E-02
 68     77.236   -153.250  6.73387E-02
 69     91.886   -153.250  0.30930    
 70    106.536   -153.250  0.30716    
 71    121.186   -153.250  0.57867    
 72    135.836   -153.250  0.86851    
 73    150.486   -153.250   1.3289    
 74    165.136   -153.250   1.5611    
 75    179.786   -153.250  0.96398    
 76    194.436   -153.250  0.74457    
 77    209.086   -153.250  0.40815    
 78    223.736   -153.250  0.41999    
 79    238.386   -153.250  0.42510    
 80    238.386   -138.600  0.27656    
 81    223.736   -138.600  0.28932    
 82    209.086   -138.600  0.62240    
 83    194.436   -138.600  0.72930    
 84    179.786   -138.600   1.2803    
 85    165.136   -138.600   1.6363    
 86    150.486   -138.600   1.6085    
 87    135.836   -138.600   1.1374    
 88    121.186   -138.600  0.89286    
 89    106.536   -138.600  0.58265    
 90     91.886   -138.600  0.33188    
 91     77.236   -138.600  0.25019    
 92     62.586   -138.600  0.18961    
 93     47.936   -138.600  0.26044    
 94     33.286   -138.600  0.37871    
 95     18.636   -138.600  0.41530    
 96      3.986   -138.600  0.27505    
 97    -10.664   -138.600  8.32685E-02
 98    -25.314   -138.600  0.20519    
 99    -39.964   -138.600  0.17268    
 100    -54.614   -138.600 -0.20667    
 101    -69.264   -138.600  0.16640    
 102    -83.914   -138.600  0.23635    
 103    -83.914   -123.950  0.22337    
 104    -69.264   -123.950  0.21636    
 105    -54.614   -123.950 -0.19241    
 106    -39.964   -123.950  0.17054    
 107    -25.314   -123.950  0.20134    
 108    -10.664   -123.950  8.36356E-02
 109      3.986   -123.950  0.28716    
 110     18.636   -123.950  0.46946    
 111     33.286   -123.950  0.72952    
 112     47.936   -123.950  0.77365    
 113     62.586   -123.950  0.70381    
 114     77.236   -123.950  0.60457    
 115     91.886   -123.950  0.74710    
 116    106.536   -123.950   1.0628    
 117    121.186   -123.950   1.0192    
 118    135.836   -123.950   1.0075    
 119    150.486   -123.950   1.3610    
 120    165.136   -123.950   1.3969    
 121    179.786   -123.950   1.0009    
 122    194.436   -123.950  0.57254    
 123    209.086   -123.950  0.45118    
 124    223.736   -123.950  0.28083    
 125    238.386   -123.950  0.27139    
 126    238.386   -109.300  0.15738    
 127    223.736   -109.300  0.15842    
 128    209.086   -109.300  0.24486    
 129    194.436   -109.300  0.41402    
 130    179.786   -109.300  0.63997    
 131    165.136   -109.300  0.69135    
 132    150.486   -109.300  0.98057    
 133    135.836   -109.300  0.86447    
 134    121.186   -109.300  0.92552    
 135    106.536   -109.300  0.94638    
 136     91.886   -109.300  0.90697    
 137     77.236   -109.300  0.87026    
 138     62.586   -109.300   1.0313    
 139     47.936   -109.300   1.1322    
 140     33.286   -109.300   1.0520    
 141     18.636   -109.300  0.62003    
 142      3.986   -109.300  0.30638    
 143    -10.664   -109.300  0.22268    
 144    -25.314   -109.300  0.16467    
 145    -39.964   -109.300  1.57190E-02
 146    -54.614   -109.300  6.37086E-02
 147    -69.264   -109.300  0.11563    
 148    -83.914   -109.300  0.10919    
 149    -83.914    -94.650 -1.25550E-02
 150    -69.264    -94.650 -4.41450E-03
 151    -54.614    -94.650  8.65912E-02
 152    -39.964    -94.650  0.15481    
 153    -25.314    -94.650  0.16582    
 154    -10.664    -94.650  0.38597    
 155      3.986    -94.650  0.32194    
 156     18.636    -94.650  0.55339    
 157     33.286    -94.650  0.60818    
 158     47.936    -94.650  0.77446    
 159     62.586    -94.650  0.82070    
 160     77.236    -94.650  0.67473    
 161     91.886    -94.650  0.50363    
 162    106.536    -94.650  0.61386    
 163    121.186    -94.650  0.70146    
 164    135.836    -94.650  0.73118    
 165    150.486    -94.650  0.70157    
 166    165.136    -94.650  0.34534    
 167    179.786    -94.650  0.23817    
 168    194.436    -94.650  4.65355E-02
 169    209.086    -94.650  0.18758    
 170    223.736    -94.650 -0.10736    
 171    238.386    -94.650 -0.11634    
 172    238.386    -80.000  3.76460E-03
 173    223.736    -80.000  1.83038E-03
 174    209.086    -80.000  7.60345E-02
 175    194.436    -80.000  0.10314    
 176    179.786    -80.000  0.26504    
 177    165.136    -80.000  0.32680    
 178    150.486    -80.000  0.71008    
 179    135.836    -80.000  0.79274    
 180    121.186    -80.000  0.65112    
 181    106.536    -80.000  0.39900    
 182     91.886    -80.000  0.46265    
 183     77.236    -80.000  0.41740    
 184     62.586    -80.000  0.29577    
 185     47.936    -80.000  0.22862    
 186     33.286    -80.000  0.30719    
 187     18.636    -80.000  0.32793    
 188      3.986    -80.000  0.29013    
 189    -10.664    -80.000  0.32830    
 190    -25.314    -80.000  0.12561    
 191    -39.964    -80.000  9.30053E-02
 192    -54.614    -80.000  4.66264E-02
 193    -69.264    -80.000 -0.12670    
 194    -83.914    -80.000 -0.13766    
 195    -83.914    -65.350  0.28562    
 196    -69.264    -65.350  0.27733    
 197    -54.614    -65.350  4.51642E-02
 198    -39.964    -65.350  2.55547E-02
 199    -25.314    -65.350  0.15225    
 200    -10.664    -65.350  0.37737    
 201      3.986    -65.350  0.41307    
 202     18.636    -65.350  0.25528    
 203     33.286    -65.350  0.28494    
 204     47.936    -65.350  0.12465    
 205     62.586    -65.350  0.12959    
 206     77.236    -65.350  3.15447E-02
 207     91.886    -65.350  3.78508E-02
 208    106.536    -65.350  0.17119    
 209    121.186    -65.350  0.55260    
 210    135.836    -65.350  0.73093    
 211    150.486    -65.350  0.51040    
 212    165.136    -65.350  0.20048    
 213    179.786    -65.350  0.15914    
 214    194.436    -65.350  0.21758    
 215    209.086    -65.350  0.18463    
 216    223.736    -65.350  2.19492E-02
 217    238.386    -65.350  2.12612E-02
 218    238.386    -50.700 -0.12669    
 219    223.736    -50.700 -0.11294    
 220    209.086    -50.700  0.10138    
 221    194.436    -50.700 -3.42471E-02
 222    179.786    -50.700  7.39483E-02
 223    165.136    -50.700  0.15708    
 224    150.486    -50.700  0.42552    
 225    135.836    -50.700  0.55485    
 226    121.186    -50.700  0.37872    
 227    106.536    -50.700  0.25964    
 228     91.886    -50.700  0.16985    
 229     77.236    -50.700  0.11455    
 230     62.586    -50.700  0.13009    
 231     47.936    -50.700  0.10263    
 232     33.286    -50.700  0.28400    
 233     18.636    -50.700  0.41345    
 234      3.986    -50.700  0.53086    
 235    -10.664    -50.700  0.20333    
 236    -25.314    -50.700  0.15170    
 237    -39.964    -50.700  0.16827    
 238    -54.614    -50.700  0.17034    
 239    -69.264    -50.700  0.17560    
 240    -83.914    -50.700  0.17609    
 241    -83.914    -36.050  0.23345    
 242    -69.264    -36.050  0.23486    
 243    -54.614    -36.050  0.19049    
 244    -39.964    -36.050  0.34072    
 245    -25.314    -36.050  0.37374    
 246    -10.664    -36.050  0.23574    
 247      3.986    -36.050  0.26424    
 248     18.636    -36.050  0.19740    
 249     33.286    -36.050  0.14200    
 250     47.936    -36.050  0.14746    
 251     62.586    -36.050  7.31243E-02
 252     77.236    -36.050  2.11908E-02
 253     91.886    -36.050  0.12687    
 254    106.536    -36.050  0.22509    
 255    121.186    -36.050  0.16491    
 256    135.836    -36.050  0.32898    
 257    150.486    -36.050  0.23324    
 258    165.136    -36.050  6.31073E-02
 259    179.786    -36.050  5.14411E-02
 260    194.436    -36.050  6.02640E-02
 261    209.086    -36.050 -9.61330E-04
 262    223.736    -36.050  0.21272    
 263    238.386    -36.050  0.22901    
 264    238.386    -21.400 -4.61781E-02
 265    223.736    -21.400 -3.62216E-02
 266    209.086    -21.400  0.10345    
 267    194.436    -21.400  6.93677E-02
 268    179.786    -21.400  0.14422    
 269    165.136    -21.400  0.13055    
 270    150.486    -21.400  0.28072    
 271    135.836    -21.400  0.21476    
 272    121.186    -21.400  0.19022    
 273    106.536    -21.400  0.21107    
 274     91.886    -21.400  0.17427    
 275     77.236    -21.400  0.18337    
 276     62.586    -21.400  0.27046    
 277     47.936    -21.400  0.25289    
 278     33.286    -21.400  0.16489    
 279     18.636    -21.400  9.15630E-02
 280      3.986    -21.400  0.40479    
 281    -10.664    -21.400  0.27288    
 282    -25.314    -21.400  0.39050    
 283    -39.964    -21.400  0.36617    
 284    -54.614    -21.400  0.23774    
 285    -69.264    -21.400  0.23250    
 286    -83.914    -21.400  0.22711    
 287    -83.914     -6.750  0.29503    
 288    -69.264     -6.750  0.29234    
 289    -54.614     -6.750  0.28106    
 290    -39.964     -6.750  0.36427    
 291    -25.314     -6.750  0.28549    
 292    -10.664     -6.750  0.27759    
 293      3.986     -6.750  0.34191    
 294     18.636     -6.750  0.23272    
 295     33.286     -6.750  0.17832    
 296     47.936     -6.750  0.21031    
 297     62.586     -6.750  0.13793    
 298     77.236     -6.750  0.16285    
 299     91.886     -6.750  8.47500E-02
 300    106.536     -6.750  9.55483E-02
 301    121.186     -6.750  0.20707    
 302    135.836     -6.750  0.18793    
 303    150.486     -6.750  0.12341    
 304    165.136     -6.750  9.69137E-02
 305    179.786     -6.750  0.31902    
 306    194.436     -6.750  0.26912    
 307    209.086     -6.750  0.23110    
 308    223.736     -6.750  0.42850    
 309    238.386     -6.750 -0.14340    
 310    223.736      7.900  0.46264    
 311    209.086      7.900  0.26049    
 312    194.436      7.900  0.25914    
 313    179.786      7.900  0.32541    
 314    165.136      7.900  9.14064E-02
 315    150.486      7.900  9.03289E-02
 316    135.836      7.900  0.11599    
 317    121.186      7.900  0.15881    
 318    106.536      7.900  7.63036E-02
 319     91.886      7.900  4.31769E-02
 320     77.236      7.900  0.10482    
 321     62.586      7.900  0.17965    
 322     47.936      7.900  0.11152    
 323     33.286      7.900  0.10429    
 324     18.636      7.900  5.47143E-02
 325      3.986      7.900  0.18234    
 326    -10.664      7.900  0.33772    
 327    -25.314      7.900  0.30827    
 328    -39.964      7.900  0.38909    
 329    -54.614      7.900  0.29255    
 330    -69.264      7.900  0.24805    
 331    -83.914      7.900  0.24371    
 332    -83.914     22.550 -2.48682E-02
 333    -69.264     22.550  4.78697E-04
 334    -54.614     22.550  0.17012    
 335    -39.964     22.550  0.15777    
 336    -25.314     22.550  8.56291E-02
 337    -10.664     22.550  0.21504    
 338      3.986     22.550  0.14406    
 339     18.636     22.550 -0.13829    
 340     33.286     22.550  0.11842    
 341     47.936     22.550  3.77394E-02
 342     62.586     22.550  9.57019E-02
 343     77.236     22.550  0.10670    
 344     91.886     22.550  4.56639E-02
 345    106.536     22.550  7.27898E-02
 346    121.186     22.550  0.16165    
 347    135.836     22.550  0.11694    
 348    150.486     22.550  9.06956E-02
 349    165.136     22.550  9.04944E-02
 350    179.786     22.550  0.32671    
 351    194.436     22.550  0.25738    
 352    209.086     22.550  0.25857    
 353     77.236     37.200 -6.57441E-02
 354     62.586     37.200 -6.18797E-02
 355     47.936     37.200  0.16763    
 356     33.286     37.200  0.18001    
 357     18.636     37.200 -9.55914E-02
 358      3.986     37.200  4.24445E-02
 359    -10.664     37.200  0.13416    
 360    -25.314     37.200  0.10539    
 361    -39.964     37.200  0.30651    
 362    -54.614     37.200  6.86879E-02
 363    -69.264     37.200  0.23093    
 364    -83.914     37.200  0.24225    
 365    -83.914     51.850  0.51621    
 366    -69.264     51.850  0.49701    
 367    -54.614     51.850  9.58384E-02
 368    -39.964     51.850  0.27100    
 369    -25.314     51.850  0.17344    
 370    -10.664     51.850  0.14119    
 371      3.986     51.850 -2.12832E-02
 372     18.636     51.850  1.05120E-02
 373     33.286     51.850  1.43361E-02
 374     47.936     51.850  8.26692E-02
 375     62.586     51.850 -0.11060    
 376     77.236     51.850 -0.16672    
 377     77.236     66.500 -9.90484E-02
 378     62.586     66.500 -8.74589E-02
 379     47.936     66.500  0.14066    
 380     33.286     66.500  0.13251    
 381     18.636     66.500  0.20624    
 382      3.986     66.500  0.23194    
 383    -10.664     66.500  0.35365    
 384    -25.314     66.500  0.17244    
 385    -39.964     66.500  0.37328    
 386    -54.614     66.500  0.51903    
 387    -69.264     66.500  0.61252    
 388    -83.914     66.500  0.61461    
 389    -83.914     81.150  0.77476    
 390    -69.264     81.150  0.77010    
 391    -54.614     81.150  0.52809    
 392    -39.964     81.150  0.81290    
 393    -25.314     81.150  0.67844    
 394    -10.664     81.150  0.44360    
 395      3.986     81.150  0.20155    
 396     18.636     81.150  0.14216    
 397     33.286     81.150  0.11656    
 398     47.936     81.150  0.20595    
 399     62.586     81.150 -0.19912    
 400     77.236     81.150 -0.21116    
 401     77.236     95.800 -6.82505E-02
 402     62.586     95.800 -5.34293E-02
 403     47.936     95.800 -8.31902E-02
 404     33.286     95.800  0.16060    
 405     18.636     95.800  0.19337    
 406      3.986     95.800  0.23980    
 407    -10.664     95.800  0.53952    
 408    -25.314     95.800  0.94246    
 409    -39.964     95.800  0.93732    
 410    -54.614     95.800  0.47612    
 411    -69.264     95.800  0.57807    
 412    -83.914     95.800  0.57326    
 413    -83.914    110.450  0.43435    
 414    -69.264    110.450  0.42346    
 415    -54.614    110.450  0.20271    
 416    -39.964    110.450  0.59334    
 417    -25.314    110.450  0.52773    
 418    -10.664    110.450  0.33073    
 419      3.986    110.450  0.12986    
 420     18.636    110.450  0.20536    
 421     33.286    110.450  0.10982    
 422     47.936    110.450  0.10163    
 423     62.586    110.450 -0.14242    
 424     77.236    110.450 -0.15254    
 425     77.236    125.100 -0.14083    
 426     62.586    125.100 -0.13515    
 427     47.936    125.100  0.14152    
 428     33.286    125.100  0.18511    
 429     18.636    125.100  0.10602    
 430      3.986    125.100  0.11897    
 431    -10.664    125.100  0.15691    
 432    -25.314    125.100  0.13979    
 433    -39.964    125.100  0.48704    
 434    -54.614    125.100  0.20428    
 435    -69.264    125.100  0.16322    
 436    -83.914    125.100  0.15449    
 437    -83.914    139.750  3.03479E-02
 438    -69.264    139.750  6.06887E-02
 439    -54.614    139.750  0.14998    
 440    -39.964    139.750  0.22602    
 441    -25.314    139.750  0.29215    
 442    -10.664    139.750  0.14222    
 443      3.986    139.750  0.16514    
 444     18.636    139.750  0.15671    
 445     33.286    139.750  0.12855    
 446     47.936    139.750  8.61692E-02
 447     62.586    139.750 -0.23061    
 448     77.236    139.750 -0.25828    
 449     62.586    154.400 -0.25949    
 450     47.936    154.400 -0.19397    
 451     33.286    154.400  0.12561    
 452     18.636    154.400  7.49602E-02
 453      3.986    154.400 -7.75682E-02
 454    -10.664    154.400 -0.12128    
 455    -25.314    154.400  0.10223    
 456    -39.964    154.400 -0.15486    
