!
! 05-JAN-2020 20:01:54
! Input file  : ngc1333_c34s32_conv.30m
! Input command: ANALYSE\PRINT area -11.8 -9.6 /OUTPUT ngc1333_c34s32_int.txt
!
 170     19.881    -16.150  0.32093    
 171     28.831    -16.150  0.32497    
 172     37.781    -16.150  0.35671    
 173    109.381    -16.150  0.45219    
 174    252.581     -7.200  0.11260    
 175    243.631     -7.200  0.11260    
 176    234.681     -7.200  0.11260    
 177    118.331     -7.200  0.45219    
 178    109.381     -7.200  0.45219    
 179    100.431     -7.200  0.45219    
 180     37.781     -7.200  0.40545    
 181     28.831     -7.200  0.37165    
 182     19.881     -7.200  0.36333    
 183     10.931     -7.200  0.52283    
 184      1.981     -7.200  0.32448    
 185     -6.969     -7.200  0.39718    
 186    -15.919     -7.200  0.26238    
 187    -24.869     -7.200  0.16545    
 188    -33.819     -7.200  0.17756    
 189    -42.769     -7.200  0.17766    
 190    -78.569      1.750  0.21658    
 191    -69.619      1.750  0.21658    
 192    -42.769      1.750  0.38609    
 193    -33.819      1.750  0.38273    
 194    -24.869      1.750  0.15058    
 195    -15.919      1.750  9.76720E-02
 196     -6.969      1.750  0.32315    
 197      1.981      1.750  0.43841    
 198     10.931      1.750  0.51301    
 199     19.881      1.750  0.24641    
 200     28.831      1.750  0.25956    
 201     37.781      1.750  0.30898    
 202    100.431      1.750  0.45219    
 203    109.381      1.750  0.45219    
 204    118.331      1.750  0.45219    
 205    225.731      1.750  0.11260    
 206    234.681      1.750  0.11260    
 207    243.631      1.750  0.11260    
 208    252.581      1.750  0.11260    
 209    252.581     10.700  0.11260    
 210    243.631     10.700  0.11260    
 211    234.681     10.700  0.11260    
 212    118.331     10.700  0.45219    
 213    109.381     10.700  0.45219    
 214    100.431     10.700  0.45219    
 215     37.781     10.700  0.29618    
 216     28.831     10.700  0.40687    
 217     19.881     10.700  0.45874    
 218     10.931     10.700  0.58225    
 219      1.981     10.700  0.50851    
 220     -6.969     10.700  0.40124    
 221    -15.919     10.700  0.32819    
 222    -24.869     10.700  0.32025    
 223    -33.819     10.700  0.37431    
 224    -42.769     10.700  0.36620    
 225    -60.669     10.700  0.21658    
 226    -69.619     10.700  0.21658    
 227    -78.569     10.700  0.21658    
 228    -87.519     10.700  0.21658    
 229    -87.519     19.650  0.21658    
 230    -78.569     19.650  0.21658    
 231    -69.619     19.650  0.21658    
 232    -60.669     19.650  0.21658    
 233    -42.769     19.650  0.35069    
 234    -33.819     19.650  0.34650    
 235    -24.869     19.650  0.23303    
 236    -15.919     19.650  6.02521E-02
 237     -6.969     19.650  0.26931    
 238      1.981     19.650  0.41467    
 239     10.931     19.650  0.45983    
 240     19.881     19.650  0.55069    
 241     28.831     19.650  0.40438    
 242     37.781     19.650  0.26983    
 243     37.781     28.600  0.43836    
 244     28.831     28.600  0.33743    
 245     19.881     28.600  0.45177    
 246     10.931     28.600  0.43706    
 247      1.981     28.600  0.32108    
 248     -6.969     28.600  0.20127    
 249    -15.919     28.600  0.19756    
 250    -24.869     28.600  9.92581E-02
 251    -33.819     28.600  0.22859    
 252    -42.769     28.600  0.24522    
 253    -69.619     28.600  0.21658    
 254    -78.569     28.600  0.21658    
 255    -42.769     37.550  0.10710    
 256    -33.819     37.550  0.11200    
 257    -24.869     37.550  8.32601E-02
 258    -15.919     37.550  0.20665    
 259     -6.969     37.550  0.25502    
 260      1.981     37.550  0.38289    
 261     10.931     37.550  0.45200    
 262     19.881     37.550  0.41965    
 263     28.831     37.550  0.25610    
 264     37.781     37.550  0.27751    
 265    118.331     64.400  0.22874    
 266    109.381     64.400  0.22874    
 267    100.431     64.400  0.22874    
 268    100.431     73.350  0.22874    
 269    109.381     73.350  0.22874    
 270    118.331     73.350  0.22874    
 271    118.331     82.300  0.22874    
 272    109.381     82.300  0.22874    
 273    100.431     82.300  0.22874    
 274    109.381     91.250  0.22874    
