!
! 05-JAN-2020 20:14:54
! Input file  : ngc1333_c34s32_conv.30m
! Input command: ANALYSE\PRINT area -12.4 -9.5 /OUTPUT ngc1333_c34s32_1s.txt
!
 168      1.981    -16.150 -1.52536E-02
 169     10.931    -16.150  0.34172    
 170     19.881    -16.150  0.39160    
 171     28.831    -16.150  0.35902    
 172     37.781    -16.150  0.39601    
 173    109.381    -16.150  0.48908    
 174    252.581     -7.200  0.10900    
 175    243.631     -7.200  0.10900    
 176    234.681     -7.200  0.10900    
 177    118.331     -7.200  0.48908    
 178    109.381     -7.200  0.48908    
 179    100.431     -7.200  0.48908    
 180     37.781     -7.200  0.45658    
 181     28.831     -7.200  0.41005    
 182     19.881     -7.200  0.41802    
 183     10.931     -7.200  0.59695    
 184      1.981     -7.200  0.33725    
 185     -6.969     -7.200  0.32204    
 186    -15.919     -7.200  0.21933    
 187    -24.869     -7.200  0.14210    
 188    -33.819     -7.200  0.23296    
 189    -42.769     -7.200  0.24248    
 190    -78.569      1.750  0.27602    
 191    -69.619      1.750  0.27602    
 192    -42.769      1.750  0.33284    
 193    -33.819      1.750  0.32920    
 194    -24.869      1.750  0.11876    
 195    -15.919      1.750  0.10278    
 196     -6.969      1.750  0.28903    
 197      1.981      1.750  0.42066    
 198     10.931      1.750  0.56534    
 199     19.881      1.750  0.22503    
 200     28.831      1.750  0.20662    
 201     37.781      1.750  0.25298    
 202    100.431      1.750  0.48908    
 203    109.381      1.750  0.48908    
 204    118.331      1.750  0.48908    
 205    225.731      1.750  0.10900    
 206    234.681      1.750  0.10900    
 207    243.631      1.750  0.10900    
 208    252.581      1.750  0.10900    
 209    252.581     10.700  0.10900    
 210    243.631     10.700  0.10900    
 211    234.681     10.700  0.10900    
 212    118.331     10.700  0.48908    
 213    109.381     10.700  0.48908    
 214    100.431     10.700  0.48908    
 215     37.781     10.700  0.30314    
 216     28.831     10.700  0.44000    
 217     19.881     10.700  0.51474    
 218     10.931     10.700  0.62932    
 219      1.981     10.700  0.53488    
 220     -6.969     10.700  0.46649    
 221    -15.919     10.700  0.39203    
 222    -24.869     10.700  0.30235    
 223    -33.819     10.700  0.44261    
 224    -42.769     10.700  0.42641    
 225    -60.669     10.700  0.27602    
 226    -69.619     10.700  0.27602    
 227    -78.569     10.700  0.27602    
 228    -87.519     10.700  0.27602    
 229    -87.519     19.650  0.27602    
 230    -78.569     19.650  0.27602    
 231    -69.619     19.650  0.27602    
 232    -60.669     19.650  0.27602    
 233    -42.769     19.650  0.31608    
 234    -33.819     19.650  0.31327    
 235    -24.869     19.650  0.29597    
 236    -15.919     19.650  0.12334    
 237     -6.969     19.650  0.31154    
 238      1.981     19.650  0.45825    
 239     10.931     19.650  0.50596    
 240     19.881     19.650  0.57387    
 241     28.831     19.650  0.43743    
 242     37.781     19.650  0.26459    
 243     37.781     28.600  0.40076    
 244     28.831     28.600  0.33529    
 245     19.881     28.600  0.41890    
