!
! 05-JAN-2020 19:43:15
! Input file  : ngc1333_cs32_conv.30m
! Input command: ANALYSE\PRINT area -18.6 -7.2 /OUTPUT ngc1333_cs32_int.txt
!
 168     71.320   -106.203   5.1586    
 169     80.120   -106.203   5.3641    
 170     88.920   -106.203   6.1675    
 171     97.720   -106.203   3.7377    
 172    106.520   -106.203   3.4375    
 173    115.320   -106.203   3.5226    
 174    124.120   -106.203   4.3205    
 175    132.920   -106.203   4.8863    
 176    141.720   -106.203   5.5665    
 177    150.520   -106.203   5.1233    
 178    159.320   -106.203   5.0440    
 179    168.120   -106.203   4.6332    
 180    176.920   -106.203   6.3576    
 181    185.720   -106.203   3.9172    
 182    194.520   -106.203   4.2010    
 183    203.320   -106.203   3.8226    
 184    212.120   -106.203   4.0200    
 185    220.920   -106.203   4.9070    
 186    229.720   -106.203   2.8644    
 187    238.520   -106.203   3.9811    
 188    247.320   -106.203   3.2583    
 189    247.320    -97.403   1.5605    
 190    238.520    -97.403   2.6174    
 191    229.720    -97.403   4.7961    
 192    220.920    -97.403   7.3662    
 193    212.120    -97.403   8.8970    
 194    203.320    -97.403   6.6059    
 195    194.520    -97.403   6.3987    
 196    185.720    -97.403   5.6845    
 197    176.920    -97.403   5.7699    
 198    168.120    -97.403   5.4812    
 199    159.320    -97.403   5.0339    
 200    150.520    -97.403   4.9173    
 201    141.720    -97.403   4.4439    
 202    132.920    -97.403   4.8816    
 203    124.120    -97.403   4.3899    
 204    115.320    -97.403   4.4432    
 205    106.520    -97.403   4.6454    
 206     97.720    -97.403   4.3600    
 207     88.920    -97.403   4.6666    
 208     80.120    -97.403   5.3521    
 209     71.320    -97.403   5.1507    
 210     62.520    -97.403   4.4795    
 211     53.720    -97.403   3.8596    
 212     44.920    -97.403   3.0979    
 213     36.120    -97.403   3.2017    
 214     27.320    -97.403   3.0274    
 215     18.520    -97.403   2.8559    
 216      9.720    -97.403   2.7832    
 217      0.920    -97.403   2.7814    
 218     -7.880    -97.403   2.4342    
 219    -16.680    -97.403   2.6829    
 220    -25.480    -97.403   2.5321    
 221    -34.280    -97.403   2.8824    
 222    -43.080    -97.403   2.3168    
 223    -51.880    -97.403   1.7037    
 224    -60.680    -97.403   1.3903    
 225    -69.480    -97.403   1.5135    
 226    -78.280    -97.403   1.3842    
 227    -87.080    -97.403   2.0721    
 228    -95.880    -97.403   1.3631    
 229   -104.680    -97.403   1.4261    
 230   -113.480    -97.403   1.3866    
 231   -122.280    -97.403  0.95339    
 232   -131.080    -97.403   1.0446    
 233   -139.880    -97.403  0.58361    
 234   -148.680    -97.403  0.27024    
 235   -157.480    -97.403  0.49965    
 236   -166.280    -97.403  0.18265    
 237   -175.080    -97.403  0.33967    
 238   -183.880    -97.403   1.2400    
 239   -192.680    -97.403   1.2400    
 240   -192.680    -88.603  0.61901    
 241   -183.880    -88.603  0.61886    
 242   -175.080    -88.603  0.12499    
 243   -166.280    -88.603 -0.11071    
 244   -157.480    -88.603  0.59212    
 245   -148.680    -88.603  0.18473    
 246   -139.880    -88.603  0.71774    
 247   -131.080    -88.603   1.3051    
