!
! 15-AUG-2019 20:26:28
! Input file  : ngc1333_cn10_conv.30m
! Input command: ANALYSE\PRINT area -88.7 -86.9 /OUTPUT ngc1333_cn10_int_5.txt
!
 159    188.520    -91.453  4.53664E-02
 160    203.170    -91.453  0.11332    
 161    217.820    -91.453  0.22803    
 162    232.470    -91.453  0.19523    
 163    247.120    -91.453  0.18065    
 164    261.770    -91.453  0.28221    
 165    276.420    -91.453  0.32031    
 166    291.070    -91.453  0.28647    
 167    305.720    -76.803  0.18740    
 168    291.070    -76.803  0.22640    
 169    276.420    -76.803  0.26632    
 170    261.770    -76.803  0.33223    
 171    247.120    -76.803  0.37232    
 172    232.470    -76.803  0.31077    
 173    217.820    -76.803  0.17265    
 174    203.170    -76.803  0.10191    
 175    188.520    -76.803  4.99954E-02
 176    173.870    -76.803  0.10686    
 177    159.220    -76.803  0.12991    
 178    144.570    -76.803  2.99605E-02
 179    129.920    -76.803  8.53401E-02
 180    115.270    -76.803  9.52178E-02
 181    100.620    -76.803  6.82954E-02
 182     85.970    -76.803  1.86411E-02
 183     71.320    -76.803 -7.36981E-03
 184     56.670    -76.803  2.49295E-02
 185     42.020    -76.803  7.55941E-02
 186     27.370    -76.803  0.11219    
 187     12.720    -76.803  0.18957    
 188     -1.930    -76.803  0.25467    
 189    -16.580    -76.803  0.12171    
 190    -31.230    -76.803  1.53369E-02
 191    -45.880    -76.803  6.40216E-02
 192    -60.530    -76.803  0.21916    
 193    -75.180    -76.803  0.17880    
 194    -89.830    -76.803  0.14461    
 195   -104.480    -76.803  2.49648E-02
 196   -119.130    -76.803 -9.46553E-03
 197   -133.780    -76.803 -1.42949E-02
 198   -148.430    -76.803  0.29867    
 199   -163.080    -76.803  0.30001    
 200   -177.730    -76.803  0.20955    
 201   -192.380    -76.803  0.18078    
 202   -207.030    -76.803  0.18435    
 203   -207.030    -62.153  0.18445    
 204   -192.380    -62.153  0.18105    
 205   -177.730    -62.153  0.20967    
 206   -163.080    -62.153  0.30009    
 207   -148.430    -62.153  0.40183    
 208   -133.780    -62.153  0.19802    
 209   -119.130    -62.153  0.13962    
 210   -104.480    -62.153  0.15637    
 211    -89.830    -62.153  0.19173    
 212    -75.180    -62.153  0.14533    
 213    -60.530    -62.153  0.18615    
 214    -45.880    -62.153  5.70319E-02
 215    -31.230    -62.153  6.67266E-02
 216    -16.580    -62.153  0.19564    
 217     -1.930    -62.153  0.35640    
 218     12.720    -62.153  0.30667    
 219     27.370    -62.153  0.23209    
 220     42.020    -62.153  0.13701    
 221     56.670    -62.153  8.95506E-02
 222     71.320    -62.153 -3.04365E-02
 223     85.970    -62.153  8.94239E-03
 224    100.620    -62.153  5.18404E-02
 225    115.270    -62.153  5.40906E-02
 226    129.920    -62.153  4.21709E-02
 227    144.570    -62.153 -1.87069E-02
 228    159.220    -62.153  5.61567E-02
 229    173.870    -62.153  0.12328    
 230    188.520    -62.153  0.11894    
 231    203.170    -62.153  0.18166    
 232    217.820    -62.153  0.19504    
 233    232.470    -62.153  0.34222    
 234    247.120    -62.153  0.38277    
 235    261.770    -62.153  0.26812    
 236    276.420    -62.153  0.22813    
 237    291.070    -62.153  0.14164    
 238    305.720    -62.153 -1.86406E-02
 239    320.370    -62.153 -6.04140E-02
 240    320.370    -47.503  1.73567E-02
 241    305.720    -47.503 -3.96730E-02
 242    291.070    -47.503 -3.88351E-02
 243    276.420    -47.503  0.10706    
 244    261.770    -47.503  0.25111    
 245    247.120    -47.503  0.28187    
 246    232.470    -47.503  0.12632    
 247    217.820    -47.503  0.12788    
 248    203.170    -47.503  0.26417    
 249    188.520    -47.503  0.26051    
 250    173.870    -47.503  0.20071    
 251    159.220    -47.503  0.13953    
 252    144.570    -47.503  4.74695E-02
 253    129.920    -47.503  7.16515E-02
 254    115.270    -47.503  8.04996E-02
 255    100.620    -47.503  2.53660E-02
 256     85.970    -47.503 -7.28758E-02
 257     71.320    -47.503 -5.28618E-02
 258     56.670    -47.503  6.71884E-02
 259     42.020    -47.503  0.14696    
 260     27.370    -47.503  0.22232    
 261     12.720    -47.503  0.28799    
 262     -1.930    -47.503  0.35945    
 263    -16.580    -47.503  0.20035    
 264    -31.230    -47.503  0.10934    
 265    -45.880    -47.503  6.65252E-02
 266    -60.530    -47.503  0.18021    
 267    -75.180    -47.503  0.15520    
 268    -89.830    -47.503  0.14337    
 269   -104.480    -47.503  7.32594E-02
 270   -119.130    -47.503  0.13785    
 271   -133.780    -47.503  0.22908    
