!
! 15-AUG-2019 20:24:32
! Input file  : ngc1333_cn10_conv.30m
! Input command: ANALYSE\PRINT area -3.7 -1 /OUTPUT ngc1333_cn10_int_1.txt
!
 168    291.070    -76.803  0.78669    
 169    276.420    -76.803  0.86789    
 170    261.770    -76.803  0.84158    
 171    247.120    -76.803  0.73627    
 172    232.470    -76.803  0.77779    
 173    217.820    -76.803  0.81403    
 174    203.170    -76.803  0.77499    
 175    188.520    -76.803  0.73362    
 176    173.870    -76.803  0.67866    
 177    159.220    -76.803  0.56490    
 178    144.570    -76.803  0.51767    
 179    129.920    -76.803  0.52881    
 180    115.270    -76.803  0.50282    
 181    100.620    -76.803  0.57804    
 182     85.970    -76.803  0.65335    
 183     71.320    -76.803  0.77427    
 184     56.670    -76.803  0.87605    
 185     42.020    -76.803   1.1238    
 186     27.370    -76.803   1.1182    
 187     12.720    -76.803  0.97195    
 188     -1.930    -76.803  0.79956    
 189    -16.580    -76.803  0.63760    
 190    -31.230    -76.803  0.50711    
 191    -45.880    -76.803  0.42980    
 192    -60.530    -76.803  0.38431    
 193    -75.180    -76.803  0.24420    
 194    -89.830    -76.803  0.21112    
 195   -104.480    -76.803  0.27608    
 196   -119.130    -76.803  0.28253    
 197   -133.780    -76.803  0.28327    
 198   -148.430    -76.803  0.37161    
 199   -163.080    -76.803  0.56816    
 200   -177.730    -76.803  0.37412    
 201   -192.380    -76.803  0.13018    
 202   -207.030    -76.803  6.26318E-02
 203   -207.030    -62.153  4.38922E-02
 204   -192.380    -62.153  0.13090    
 205   -177.730    -62.153  0.37416    
 206   -163.080    -62.153  0.56745    
 207   -148.430    -62.153  0.40060    
 208   -133.780    -62.153  0.55215    
 209   -119.130    -62.153  0.39119    
 210   -104.480    -62.153  0.38957    
 211    -89.830    -62.153  0.32779    
 212    -75.180    -62.153  0.31469    
 213    -60.530    -62.153  0.45563    
 214    -45.880    -62.153  0.45645    
 215    -31.230    -62.153  0.49590    
 216    -16.580    -62.153  0.70557    
 217     -1.930    -62.153  0.84909    
 218     12.720    -62.153   1.0611    
 219     27.370    -62.153   1.2177    
 220     42.020    -62.153   1.1812    
 221     56.670    -62.153  0.99512    
 222     71.320    -62.153  0.81287    
 223     85.970    -62.153  0.65172    
 224    100.620    -62.153  0.60524    
 225    115.270    -62.153  0.46756    
 226    129.920    -62.153  0.50287    
 227    144.570    -62.153  0.55147    
 228    159.220    -62.153  0.61100    
 229    173.870    -62.153  0.87168    
 230    188.520    -62.153   1.0282    
 231    203.170    -62.153  0.87751    
 232    217.820    -62.153  0.85697    
 233    232.470    -62.153  0.85263    
 234    247.120    -62.153  0.88245    
 235    261.770    -62.153  0.88238    
 236    276.420    -62.153  0.75288    
 237    291.070    -62.153  0.43991    
 238    305.720    -62.153  0.14993    
 239    320.370    -62.153  0.26420    
 240    320.370    -47.503  0.28925    
 241    305.720    -47.503  0.14218    
 242    291.070    -47.503  0.12728    
 243    276.420    -47.503  0.35425    
 244    261.770    -47.503  0.77329    
 245    247.120    -47.503  0.89778    
 246    232.470    -47.503  0.81631    
 247    217.820    -47.503  0.83613    
 248    203.170    -47.503  0.97715    
 249    188.520    -47.503   1.1983    
 250    173.870    -47.503  0.98401    
 251    159.220    -47.503  0.75884    
 252    144.570    -47.503  0.59378    
 253    129.920    -47.503  0.42232    
 254    115.270    -47.503  0.37620    
 255    100.620    -47.503  0.51523    
 256     85.970    -47.503  0.64225    
 257     71.320    -47.503  0.80311    
 258     56.670    -47.503  0.89349    
 259     42.020    -47.503   1.0005    
 260     27.370    -47.503   1.3597    
 261     12.720    -47.503   1.2692    
 262     -1.930    -47.503   1.1080    
 263    -16.580    -47.503  0.82424    
 264    -31.230    -47.503  0.50151    
 265    -45.880    -47.503  0.52123    
 266    -60.530    -47.503  0.53546    
 267    -75.180    -47.503  0.49469    
 268    -89.830    -47.503  0.51840    
 269   -104.480    -47.503  0.57373    
 270   -119.130    -47.503  0.61331    
 271   -133.780    -47.503  0.62434    
 272   -148.430    -47.503  0.39871    
 273   -163.080    -47.503  0.56231    
 274   -177.730    -47.503  0.37444    
 275   -192.380    -47.503  0.13494    
 276   -207.030    -47.503  4.82701E-02
 277   -207.030    -32.853  7.78588E-02
 278   -192.380    -32.853  0.16035    
 279   -177.730    -32.853  0.37114    
 280   -163.080    -32.853  0.52399    
 281   -148.430    -32.853  0.38579    
 282   -133.780    -32.853  0.58445    
 283   -119.130    -32.853  0.61202    
 284   -104.480    -32.853  0.69659    
 285    -89.830    -32.853  0.77114    
 286    -75.180    -32.853  0.80083    
 287    -60.530    -32.853  0.88075    
 288    -45.880    -32.853  0.82169    
 289    -31.230    -32.853  0.76466    
 290    -16.580    -32.853   1.0027    
 291     -1.930    -32.853   1.3101    
 292     12.720    -32.853   1.5230    
 293     27.370    -32.853   1.2593    
 294     42.020    -32.853  0.83415    
 295     56.670    -32.853  0.74485    
 296     71.320    -32.853  0.84732    
 297     85.970    -32.853  0.70854    
 298    100.620    -32.853  0.61574    
 299    115.270    -32.853  0.51480    
 300    129.920    -32.853  0.48099    
 301    144.570    -32.853  0.71824    
 302    159.220    -32.853  0.86088    
 303    173.870    -32.853  0.93630    
 304    188.520    -32.853   1.0698    
 305    203.170    -32.853  0.91848    
 306    217.820    -32.853  0.69978    
 307    232.470    -32.853  0.68864    
 308    247.120    -32.853  0.61624    
 309    261.770    -32.853  0.41541    
 310    276.420    -32.853  0.15683    
 311    291.070    -32.853  0.17673    
 312    305.720    -32.853  0.35910    
 313    320.370    -32.853  0.51578    
 314    335.020    -32.853  0.44196    
 315    349.670    -18.203  1.68266E-02
 316    335.020    -18.203  0.15286    
 317    320.370    -18.203  0.36597    
 318    305.720    -18.203  0.46398    
 319    291.070    -18.203  0.32637    
 320    276.420    -18.203  0.19556    
 321    261.770    -18.203  0.19916    
 322    247.120    -18.203  0.29730    
 323    232.470    -18.203  0.53005    
 324    217.820    -18.203  0.65527    
 325    203.170    -18.203  0.78324    
 326    188.520    -18.203  0.87461    
 327    173.870    -18.203  0.89048    
 328    159.220    -18.203  0.92960    
 329    144.570    -18.203  0.85101    
 330    129.920    -18.203  0.69886    
 331    115.270    -18.203  0.82083    
 332    100.620    -18.203   1.0287    
 333     85.970    -18.203   1.0495    
 334     71.320    -18.203  0.93899    
 335     56.670    -18.203  0.74246    
 336     42.020    -18.203  0.70381    
 337     27.370    -18.203   1.0265    
 338     12.720    -18.203   1.3721    
 339     -1.930    -18.203   1.2583    
 340    -16.580    -18.203   1.0056    
 341    -31.230    -18.203  0.99043    
 342    -45.880    -18.203   1.1170    
 343    -60.530    -18.203   1.1800    
 344    -75.180    -18.203   1.0452    
 345    -89.830    -18.203  0.96141    
 346   -104.480    -18.203  0.82530    
 347   -119.130    -18.203  0.53970    
 348   -133.780    -18.203  0.46174    
 349   -148.430    -18.203  0.34234    
 350   -163.080    -18.203  0.35964    
 351   -177.730    -18.203  0.28567    
 352   -192.380    -18.203  0.19060    
 353   -207.030    -18.203  0.13380    
 354   -207.030     -3.553  0.15033    
 355   -192.380     -3.553  0.19756    
 356   -177.730     -3.553  0.19437    
 357   -163.080     -3.553  0.21677    
 358   -148.430     -3.553  0.28854    
 359   -133.780     -3.553  0.33146    
 360   -119.130     -3.553  0.49140    
 361   -104.480     -3.553  0.76315    
 362    -89.830     -3.553  0.90450    
 363    -75.180     -3.553  0.98399    
 364    -60.530     -3.553   1.0626    
 365    -45.880     -3.553   1.1161    
 366    -31.230     -3.553   1.0684    
 367    -16.580     -3.553   1.0545    
 368     -1.930     -3.553   1.1539    
 369     12.720     -3.553   1.1246    
 370     27.370     -3.553  0.86658    
 371     42.020     -3.553  0.86516    
 372     56.670     -3.553   1.0682    
 373     71.320     -3.553   1.2093    
 374     85.970     -3.553   1.4539    
 375    100.620     -3.553   1.5912    
 376    115.270     -3.553   1.3392    
 377    129.920     -3.553   1.0791    
 378    144.570     -3.553   1.0378    
 379    159.220     -3.553   1.0344    
 380    173.870     -3.553  0.89455    
 381    188.520     -3.553  0.80628    
 382    203.170     -3.553  0.68239    
 383    217.820     -3.553  0.63226    
 384    232.470     -3.553  0.46061    
 385    247.120     -3.553  0.23103    
 386    261.770     -3.553  8.03865E-03
 387    276.420     -3.553  5.50374E-02
 388    291.070     -3.553  0.16219    
 389    305.720     -3.553  0.21842    
 390    320.370     -3.553  0.12614    
 391    335.020     -3.553  4.74600E-02
 392    349.670     -3.553  3.89599E-03
 393    364.320     -3.553 -1.65089E-02
 394    364.320     11.097  3.42439E-03
 395    349.670     11.097  3.90522E-03
 396    335.020     11.097  3.44517E-02
 397    320.370     11.097  9.57027E-02
 398    305.720     11.097  0.12149    
 399    291.070     11.097  0.11530    
 400    276.420     11.097  0.14183    
 401    261.770     11.097  2.99337E-02
 402    247.120     11.097  0.17221    
 403    232.470     11.097  0.31578    
 404    217.820     11.097  0.42407    
 405    203.170     11.097  0.69005    
 406    188.520     11.097  0.80749    
 407    173.870     11.097  0.97301    
 408    159.220     11.097   1.2101    
 409    144.570     11.097   1.2354    
 410    129.920     11.097   1.2970    
 411    115.270     11.097   1.6580    
 412    100.620     11.097   1.9105    
 413     85.970     11.097   1.6047    
 414     71.320     11.097   1.2703    
 415     56.670     11.097   1.2196    
 416     42.020     11.097   1.0619    
 417     27.370     11.097  0.92359    
 418     12.720     11.097   1.0806    
 419     -1.930     11.097   1.1372    
 420    -16.580     11.097   1.1663    
 421    -31.230     11.097   1.0538    
 422    -45.880     11.097  0.92001    
 423    -60.530     11.097  0.66678    
 424    -75.180     11.097  0.53430    
 425    -89.830     11.097  0.51943    
 426   -104.480     11.097  0.52366    
 427   -119.130     11.097  0.38629    
 428   -133.780     11.097  0.34202    
 429   -148.430     11.097  0.33149    
 430   -163.080     11.097  0.13794    
 431   -177.730     11.097  8.82633E-02
 432   -192.380     11.097  2.74466E-02
 433   -207.030     11.097 -6.68322E-02
 434   -207.030     25.747  0.29030    
 435   -192.380     25.747  0.35030    
 436   -177.730     25.747  0.34167    
 437   -163.080     25.747  0.23529    
