!
! 01-JUL-2019 22:53:53
! Input file  : spectraOdp.30m
! Input command: ANALYSE\PRINT area 8.5 21.2 /OUTPUT serpens_h13cn10_int.txt
!
 134717     32.133    -50.000   1.4150    
 134718     35.133    -50.000 -0.97057    
 134719     38.133    -50.000   1.3180    
 134720     41.133    -50.000   1.3240    
 134721     44.133    -50.000   1.7433    
 134722     47.133    -50.000   1.6028    
 134723     50.133    -50.000   1.3209    
 134724     53.133    -50.000 -0.70871    
 134725     56.133    -50.000 -0.30464    
 134726     59.133    -50.000  0.86952    
 134727     62.133    -50.000  0.98494    
 134728     65.133    -50.000  -1.1507    
 134729     68.133    -50.000  -1.3882    
 134730     71.133    -50.000  -2.6573    
 134731     74.133    -50.000  -1.1227    
 134732     77.133    -50.000 -0.50931    
 134733     80.133    -50.000 -0.59848    
 134734     83.133    -50.000  -2.0227    
 134735     86.133    -50.000 -4.38572E-02
 134736     87.867    -30.000   2.0846    
 134737     84.867    -30.000   2.2396    
 134738     81.867    -30.000  0.23263    
 134739     78.867    -30.000   1.8123    
 134740     75.867    -30.000  0.40936    
 134741     72.867    -30.000  -1.1116    
 134742     69.867    -30.000  -1.7472    
 134743     66.867    -30.000  0.31569    
 134744     63.867    -30.000   1.3301    
 134745     60.867    -30.000  0.79765    
 134746     57.867    -30.000 -8.76212E-02
 134747     54.867    -30.000  0.47191    
 134748     51.867    -30.000  0.14750    
 134749     48.867    -30.000 -0.48512    
 134750     45.867    -30.000  0.86387    
 134751     42.867    -30.000   1.0396    
 134752     39.867    -30.000 -0.37058    
 134753     36.867    -30.000  6.34912E-02
 134754     33.867    -30.000   1.1798    
 134755     30.867    -30.000   2.4875    
 134756     27.867    -30.000  -2.2060    
 134757     24.867    -30.000  0.75968    
 134758     21.867    -30.000   1.5596    
 134759     18.867    -30.000 -5.60000E-02
 134760     15.867    -30.000   1.0905    
 134761     12.867    -30.000  0.63140    
 134762      9.867    -30.000  0.12781    
 134763      6.867    -30.000   2.1596    
 134764      3.867    -30.000   2.0387    
 134765      0.867    -30.000   1.5033    
 134766     -2.133    -30.000 -8.75329E-03
 134767     -5.133    -30.000  0.39054    
 134768     -8.133    -30.000   2.6221    
 134769    -11.133    -30.000   2.0306    
 134770    -14.133    -30.000   2.0966    
 134771    -17.133    -30.000  0.49939    
 134772    -20.133    -30.000  0.81022    
 134773    -23.133    -30.000  0.70846    
 134774    -26.133    -30.000   2.2909    
 134775    -29.133    -30.000   1.3806    
 134776    -32.133    -30.000  0.62194    
 134777    -35.133    -30.000  0.11088    
 134778    -38.133    -30.000   1.9035    
 134779    -41.133    -30.000 -0.41700    
 134780    -44.133    -30.000   1.9087    
 134781    -47.133    -30.000   1.0351    
 134782    -50.133    -30.000  6.93207E-02
 134783    -53.133    -30.000 -0.44311    
 134784    -56.133    -30.000  -1.4631    
 134785    -59.133    -30.000 -0.22545    
 134786    -62.133    -30.000  0.12385    
 134787    -65.133    -30.000   1.1710    
 134788    -68.133    -30.000  0.35119    
 134789    -71.133    -30.000   1.2394    
 134790    -74.133    -30.000  0.73015    
 134791    -77.133    -30.000  -1.6586    
 134792    -80.133    -30.000  5.87682E-02
 134793    -87.867    -10.000   2.5114    
 134794    -84.867    -10.000   2.0041    
 134795    -81.867    -10.000   2.2243    
 134796    -78.867    -10.000  2.64375E-02
 134797    -75.867    -10.000   3.4294    
 134798    -72.867    -10.000  0.25703    
 134799    -69.867    -10.000   3.6232    
 134800    -66.867    -10.000   1.9676    
